"city", "lat", "lng", 
"Lakeland", "28.0556", "-81.9545", 
"Trenton", "40.2236", "-74.7641", 
"Lincoln", "40.8090", "-96.6788", 
"Springfield", "37.1943", "-93.2916", 
"Anchorage", "61.1508", "-149.1091", 
"Plano", "33.0502", "-96.7487", 
"Irvine", "33.6772", "-117.7738", 
"Davenport", "41.5563", "-90.6052", 
"Rockford", "42.2597", "-89.0641", 
"Newark", "40.7245", "-74.1725", 
"South Bend", "41.6767", "-86.2696", 
"Shreveport", "32.4656", "-93.7956", 
"Round Lake Beach", "42.3790", "-88.0811", 
"Savannah", "32.0281", "-81.1784", 
"Myrtle Beach", "33.7096", "-78.8843", 
"Chula Vista", "32.6281", "-117.0145", 
"Eugene", "44.0563", "-123.1173", 
"Canton", "40.8075", "-81.3677", 
"Lubbock", "33.5659", "-101.8878", 
"Reading", "40.3400", "-75.9267", 
"Winter Haven", "28.0118", "-81.7017", 
"Salem", "44.9231", "-123.0246", 
"St. Petersburg", "27.7931", "-82.6652", 
"Lafayette", "30.2084", "-92.0323", 
"Laredo", "27.5629", "-99.4875", 
"Jersey City", "40.7161", "-74.0682", 
"Concord", "35.3933", "-80.6366", 
"Columbus", "32.5100", "-84.8771", 
"Chandler", "33.2826", "-111.8516", 
"McKinney", "33.2015", "-96.6669", 
"Scottsdale", "33.6872", "-111.8651", 
"Killeen", "31.0754", "-97.7296", 
"Tallahassee", "30.4551", "-84.2526", 
"Peoria", "40.7520", "-89.6153", 
"Wilmington", "34.2100", "-77.8866", 
"Montgomery", "32.3473", "-86.2666", 
"Gilbert", "33.3101", "-111.7463", 
"Glendale", "33.5791", "-112.2311", 
"North Las Vegas", "36.2880", "-115.0901", 
"Chesapeake", "36.6778", "-76.3024", 
"Barnstable", "41.6722", "-70.3599", 
"Norfolk", "36.8945", "-76.2590", 
"Fremont", "37.5265", "-121.9852", 
"Kennewick", "46.1978", "-119.1732", 
"Garland", "32.9100", "-96.6305", 
"Irving", "32.8584", "-96.9702", 
"Visalia", "36.3276", "-119.3269", 
"Atlantic City", "39.3797", "-74.4527", 
"Paradise", "36.0807", "-115.1369", 
"Nashua", "42.7491", "-71.4910", 
"Arlington", "38.8786", "-77.1011", 
"Hialeah", "25.8696", "-80.3046", 
"York", "39.9651", "-76.7315", 
"Evansville", "37.9881", "-87.5341", 
"Avondale", "33.3858", "-112.3236", 
"Brownsville", "25.9980", "-97.4565", 
"Gulfport", "30.4271", "-89.0703", 
"Appleton", "44.2779", "-88.3891", 
"Bremerton", "47.5436", "-122.7122", 
"Hickory", "35.7425", "-81.3230", 
"Tacoma", "47.2431", "-122.4531", 
"San Bernardino", "34.1417", "-117.2946", 
"College Station", "30.5852", "-96.2960", 
"Kalamazoo", "42.2749", "-85.5882", 
"Thousand Oaks", "34.1914", "-118.8755", 
"Roanoke", "37.2785", "-79.9580", 
"Fontana", "34.0968", "-117.4599", 
"Moreno Valley", "33.9244", "-117.2045", 
"North Port", "27.0577", "-82.1975", 
"Fargo", "46.8652", "-96.8292", 
"Green Bay", "44.5150", "-87.9896", 
"Spring Valley", "36.0987", "-115.2619", 
"Amarillo", "35.1988", "-101.8311", 
"Portland", "43.6773", "-70.2715", 
"Santa Barbara", "34.4285", "-119.7202", 
"Gainesville", "29.6804", "-82.3458", 
"Olympia", "47.0417", "-122.8959", 
"Frisco", "33.1555", "-96.8215", 
"Yonkers", "40.9466", "-73.8674", 
"Norwich", "41.5495", "-72.0882", 
"Glendale", "34.1818", "-118.2468", 
"Huntington Beach", "33.6960", "-118.0025", 
"Deltona", "28.9050", "-81.2137", 
"Aurora", "41.7637", "-88.2901", 
"Tempe", "33.3881", "-111.9318", 
"Overland Park", "38.8870", "-94.6870", 
"Grand Prairie", "32.6872", "-97.0209", 
"Sunrise Manor", "36.1785", "-115.0490", 
"Waco", "31.5598", "-97.1881", 
"Salinas", "36.6884", "-121.6317", 
"Waterbury", "41.5583", "-73.0361", 
"Clarksville", "36.5695", "-87.3420", 
"Cedar Rapids", "41.9665", "-91.6782", 
"Sioux Falls", "43.5397", "-96.7320", 
"Huntington", "38.4109", "-82.4344", 
"Ontario", "34.0393", "-117.6064", 
"Hagerstown", "39.6401", "-77.7217", 
"Erie", "42.1168", "-80.0733", 
"Vancouver", "45.6366", "-122.5967", 
"Nampa", "43.5845", "-116.5631", 
"Spartanburg", "34.9437", "-81.9257", 
"Gastonia", "35.2494", "-81.1853", 
"Fort Lauderdale", "26.1412", "-80.1464", 
"Lorain", "41.4409", "-82.1840", 
"Murfreesboro", "35.8492", "-86.4119", 
"High Point", "35.9907", "-79.9938", 
"Newport News", "37.1051", "-76.5185", 
"Rancho Cucamonga", "34.1248", "-117.5666", 
"Hemet", "33.7341", "-116.9969", 
"Santa Cruz", "36.9789", "-122.0346", 
"Danbury", "41.4016", "-73.4710", 
"Peoria", "33.7844", "-112.2989", 
"Oceanside", "33.2247", "-117.3083", 
"Elk Grove", "38.4160", "-121.3842", 
"Pembroke Pines", "26.0128", "-80.3382", 
"Vallejo", "38.1133", "-122.2358", 
"Garden Grove", "33.7787", "-117.9601", 
"Enterprise", "36.0164", "-115.2208", 
"Medford", "42.3372", "-122.8537", 
"Cary", "35.7820", "-78.8191", 
"Marysville", "48.0809", "-122.1561", 
"Corona", "33.8616", "-117.5649", 
"Ocala", "29.1780", "-82.1511", 
"Fredericksburg", "38.2992", "-77.4872", 
"Gainesville", "34.2903", "-83.8301", 
"Manchester", "42.9848", "-71.4447", 
"Bayamón", "18.3793", "-66.1635", 
"Champaign", "40.1144", "-88.2735", 
"Alexandria", "38.8185", "-77.0861", 
"Hayward", "37.6328", "-122.0772", 
"Springfield", "39.7710", "-89.6538", 
"Lakewood", "39.6977", "-105.1168", 
"Lafayette", "40.3990", "-86.8594", 
"Frederick", "39.4336", "-77.4141", 
"Lake Charles", "30.2012", "-93.2122", 
"Odessa", "31.8831", "-102.3406", 
"Tuscaloosa", "33.2348", "-87.5267", 
"Warner Robins", "32.5970", "-83.6529", 
"Palmdale", "34.5944", "-118.1057", 
"Hollywood", "26.0294", "-80.1679", 
"Midland", "32.0249", "-102.1137", 
"Leesburg", "28.7657", "-81.8996", 
"Port Arthur", "29.8554", "-93.9264", 
"Muskegon", "43.2281", "-86.2563", 
"Macon", "32.8065", "-83.6974", 
"Kansas City", "39.1234", "-94.7443", 
"Sunnyvale", "37.3836", "-122.0256", 
"Pomona", "34.0585", "-117.7626", 
"Escondido", "33.1347", "-117.0722", 
"Pasadena", "29.6583", "-95.1499", 
"New Bedford", "41.6697", "-70.9428", 
"Fairfield", "38.2592", "-122.0324", 
"Naperville", "41.7483", "-88.1657", 
"Bellevue", "47.5951", "-122.1535", 
"Binghamton", "42.1014", "-75.9093", 
"Elkhart", "41.6916", "-85.9628", 
"Topeka", "39.0346", "-95.6955", 
"Joliet", "41.5189", "-88.1499", 
"Beaumont", "30.0849", "-94.1451", 
"Paterson", "40.9147", "-74.1624", 
"Merced", "37.3057", "-120.4778", 
"Pueblo", "38.2705", "-104.6112", 
"Tyler", "32.3184", "-95.3062", 
"Torrance", "33.8346", "-118.3417", 
"Yuma", "32.5992", "-114.5488", 
"Metairie", "29.9977", "-90.1780", 
"Surprise", "33.6800", "-112.4524", 
"Columbia", "38.9478", "-92.3256", 
"Athens", "33.9508", "-83.3689", 
"Roseville", "38.7703", "-121.3196", 
"Thornton", "39.9197", "-104.9438", 
"Miramar", "25.9773", "-80.3351", 
"Pasadena", "34.1597", "-118.1390", 
"Mesquite", "32.7623", "-96.5889", 
"Olathe", "38.8832", "-94.8198", 
"Santa Maria", "34.9334", "-120.4432", 
"Houma", "29.5799", "-90.7058", 
"Carrollton", "32.9890", "-96.8999", 
"Grand Junction", "39.0876", "-108.5673", 
"Charleston", "38.3484", "-81.6323", 
"Orange", "33.8038", "-117.8218", 
"Fullerton", "33.8841", "-117.9279", 
"Greeley", "40.4151", "-104.7706", 
"Carolina", "18.4054", "-65.9792", 
"Las Cruces", "32.3265", "-106.7892", 
"Panama City", "30.1995", "-85.6004", 
"Harlingen", "26.1917", "-97.6976", 
"West Valley City", "40.6889", "-112.0115", 
"Hampton", "37.0551", "-76.3630", 
"Warren", "42.4934", "-83.0270", 
"Mauldin", "34.7849", "-82.3005", 
"Bloomington", "40.4757", "-88.9703", 
"Coral Springs", "26.2702", "-80.2591", 
"Round Rock", "30.5254", "-97.6660", 
"Yakima", "46.5923", "-120.5496", 
"Sterling Heights", "42.5809", "-83.0305", 
"Kent", "47.3887", "-122.2129", 
"Burlington", "36.0758", "-79.4686", 
"Bellingham", "48.7543", "-122.4687", 
"Santa Clara", "37.3645", "-121.9680", 
"Racine", "42.7274", "-87.8135", 
"Greenville", "35.5956", "-77.3768", 
"Stamford", "41.1035", "-73.5583", 
"Elizabeth", "40.6657", "-74.1912", 
"Johnson City", "36.3406", "-82.3803", 
"Lynchburg", "37.4003", "-79.1909", 
"Simi Valley", "34.2663", "-118.7490", 
"Fort Smith", "35.3493", "-94.3695", 
"Kenosha", "42.5864", "-87.8765", 
"Norman", "35.2335", "-97.3471", 
"South Lyon", "42.4614", "-83.6526", 
"Boulder", "40.0249", "-105.2523", 
"Abilene", "32.4543", "-99.7384", 
"Lehigh Acres", "26.6120", "-81.6388", 
"Pearland", "29.5585", "-95.3215", 
"Berkeley", "37.8723", "-122.2760", 
"Richardson", "32.9717", "-96.7093", 
"Redding", "40.5698", "-122.3650", 
"Arvada", "39.8321", "-105.1511", 
"East Los Angeles", "34.0326", "-118.1691", 
"St. George", "37.0770", "-113.5770", 
"Billings", "45.7891", "-108.5524", 
"Yuba City", "39.1357", "-121.6381", 
"Rochester", "44.0151", "-92.4778", 
"Leominster", "42.5209", "-71.7717", 
"Kingsport", "36.5224", "-82.5453", 
"Duluth", "46.7756", "-92.1392", 
"Rock Hill", "34.9416", "-81.0244", 
"Gilroy", "37.0047", "-121.5855", 
"Cambridge", "42.3759", "-71.1185", 
"Sugar Land", "29.5935", "-95.6357", 
"Texas City", "29.4128", "-94.9658", 
"Iowa City", "41.6559", "-91.5303", 
"Saginaw", "43.4199", "-83.9501", 
"Chico", "39.7575", "-121.8152", 
"Dover", "39.1610", "-75.5203", 
"Clearwater", "27.9789", "-82.7622", 
"Coeur d'Alene", "47.7041", "-116.7935", 
"Seaside", "36.6224", "-121.8191", 
"Independence", "39.0871", "-94.3501", 
"West Jordan", "40.6024", "-112.0008", 
"Brandon", "27.9367", "-82.3000", 
"Bloomington", "39.1637", "-86.5257", 
"El Monte", "34.0739", "-118.0291", 
"North Charleston", "32.9066", "-80.0722", 
"Carlsbad", "33.1247", "-117.2837", 
"St. Cloud", "45.5339", "-94.1718", 
"Temecula", "33.4928", "-117.1315", 
"Clovis", "36.8278", "-119.6831", 
"Meridian", "43.6112", "-116.3968", 
"The Woodlands", "30.1738", "-95.5134", 
"Ponce", "18.0120", "-66.6198", 
"Westminster", "39.8837", "-105.0624", 
"Costa Mesa", "33.6667", "-117.9135", 
"Monroe", "32.5183", "-92.0774", 
"Utica", "43.0961", "-75.2260", 
"Pompano Beach", "26.2428", "-80.1312", 
"West Palm Beach", "26.7468", "-80.1316", 
"Waterloo", "42.4920", "-92.3522", 
"Everett", "47.9525", "-122.1669", 
"El Centro", "32.7867", "-115.5586", 
"Santa Fe", "35.6619", "-105.9819", 
"Downey", "33.9379", "-118.1312", 
"Spring Hill", "28.4797", "-82.5300", 
"Lowell", "42.6389", "-71.3217", 
"Centennial", "39.5926", "-104.8674", 
"Elgin", "42.0385", "-88.3229", 
"Richmond", "37.9477", "-122.3390", 
"Broken Arrow", "36.0365", "-95.7809", 
"Miami Gardens", "25.9433", "-80.2426", 
"Bend", "44.0562", "-121.3087", 
"Burlington", "44.4877", "-73.2314", 
"Jurupa Valley", "34.0010", "-117.4705", 
"Sandy Springs", "33.9366", "-84.3703", 
"Gresham", "45.5023", "-122.4413", 
"Lewisville", "33.0452", "-96.9823", 
"Hillsboro", "45.5272", "-122.9361", 
"San Buenaventura", "34.2741", "-119.2314", 
"Jacksonville", "34.7288", "-77.3941", 
"Pottstown", "40.2507", "-75.6444", 
"Inglewood", "33.9566", "-118.3444", 
"League City", "29.4873", "-95.1087", 
"Eau Claire", "44.8199", "-91.4949", 
"Turlock", "37.5053", "-120.8588", 
"Temple", "31.1076", "-97.3894", 
"Sioux City", "42.4959", "-96.3901", 
"Salisbury", "38.3756", "-75.5867", 
"Davie", "26.0789", "-80.2870", 
"Daly City", "37.6862", "-122.4685", 
"Highlands Ranch", "39.5419", "-104.9708", 
"Allen", "33.1088", "-96.6735", 
"West Covina", "34.0555", "-117.9112", 
"Sparks", "39.5729", "-119.7157", 
"Wichita Falls", "33.9072", "-98.5291", 
"San Mateo", "37.5521", "-122.3122", 
"Columbia", "39.2004", "-76.8590", 
"Norwalk", "33.9069", "-118.0829", 
"Rialto", "34.1174", "-117.3894", 
"Manteca", "37.7927", "-121.2264", 
"Arden-Arcade", "38.6034", "-121.3810", 
"El Cajon", "32.8017", "-116.9605", 
"Burbank", "34.1879", "-118.3235", 
"Longmont", "40.1686", "-105.1005", 
"Renton", "47.4784", "-122.1919", 
"Vista", "33.1896", "-117.2386", 
"Logan", "41.7400", "-111.8419", 
"Prescott Valley", "34.5983", "-112.3176", 
"Vacaville", "38.3590", "-121.9680", 
"Edinburg", "26.3197", "-98.1596", 
"Carmel", "39.9650", "-86.1460", 
"Spokane Valley", "47.6626", "-117.2346", 
"San Angelo", "31.4424", "-100.4506", 
"La Crosse", "43.8240", "-91.2268", 
"Idaho Falls", "43.4872", "-112.0362", 
"Holland", "42.7677", "-86.0985", 
"Charlottesville", "38.0375", "-78.4855", 
"Longview", "32.5193", "-94.7621", 
"Tracy", "37.7269", "-121.4522", 
"Boca Raton", "26.3752", "-80.1080", 
"Lafayette", "39.9949", "-105.0997", 
"Lee's Summit", "38.9172", "-94.3816", 
"Rio Rancho", "35.2872", "-106.6981", 
"South Fulton", "33.6269", "-84.5802", 
"Beaverton", "45.4779", "-122.8168", 
"Lawrence", "38.9597", "-95.2641", 
"Bismarck", "46.8144", "-100.7694", 
"Orem", "40.2983", "-111.6992", 
"Middletown", "39.5032", "-84.3660", 
"San Tan Valley", "33.1879", "-111.5472", 
"San Marcos", "33.1350", "-117.1744", 
"Sandy", "40.5710", "-111.8505", 
"Federal Way", "47.3091", "-122.3358", 
"Mandeville", "30.3751", "-90.0904", 
"Hesperia", "34.3975", "-117.3147", 
"Brockton", "42.0821", "-71.0242", 
"Compton", "33.8930", "-118.2275", 
"Riverview", "27.8227", "-82.3023", 
"Fishers", "39.9589", "-85.9661", 
"Sunrise", "26.1547", "-80.2997", 
"Bowling Green", "36.9719", "-86.4373", 
"Roswell", "34.0391", "-84.3513", 
"Menifee", "33.6909", "-117.1849", 
"Plantation", "26.1260", "-80.2617", 
"Dover", "43.1887", "-70.8845", 
"Quincy", "42.2516", "-71.0183", 
"Portsmouth", "36.8468", "-76.3540", 
"Chino", "33.9836", "-117.6654", 
"Lynn", "42.4779", "-70.9663", 
"Edmond", "35.6689", "-97.4159", 
"Hanford", "36.3274", "-119.6549", 
"Dearborn", "42.3127", "-83.2129", 
"Livonia", "42.3972", "-83.3733", 
"South Gate", "33.9448", "-118.1926", 
"Vineland", "39.4653", "-74.9981", 
"Florence", "34.1781", "-79.7877", 
"Portsmouth", "43.0580", "-70.7826", 
"Slidell", "30.2881", "-89.7826", 
"Lawton", "34.6176", "-98.4203", 
"Kirkland", "47.6974", "-122.2054", 
"Missoula", "46.8750", "-114.0214", 
"Auburn", "32.6087", "-85.4899", 
"Rapid City", "44.0716", "-103.2204", 
"Terre Haute", "39.4654", "-87.3763", 
"Suffolk", "36.6953", "-76.6398", 
"Blacksburg", "37.2300", "-80.4279", 
"Mount Pleasant", "32.8538", "-79.8204", 
"Carson", "33.8374", "-118.2559", 
"Conroe", "30.3239", "-95.4825", 
"Alafaya", "28.5278", "-81.1865", 
"Livermore", "37.6862", "-121.7608", 
"Westminster", "33.7523", "-117.9938", 
"Germantown", "39.1755", "-77.2643", 
"Santa Monica", "34.0232", "-118.4813", 
"New Braunfels", "29.6994", "-98.1148", 
"Fall River", "41.7137", "-71.1014", 
"Albany", "31.5776", "-84.1762", 
"Miami Beach", "25.8171", "-80.1396", 
"Norwalk", "41.1144", "-73.4215", 
"San Leandro", "37.7071", "-122.1601", 
"O'Fallon", "38.7850", "-90.7175", 
"Newton", "42.3316", "-71.2085", 
"Muncie", "40.1989", "-85.3950", 
"Citrus Heights", "38.6948", "-121.2880", 
"State College", "40.7909", "-77.8568", 
"Town 'n' Country", "28.0108", "-82.5760", 
"Decatur", "39.8556", "-88.9337", 
"Jackson", "42.2431", "-84.4037", 
"Fort Myers", "26.6195", "-81.8303", 
"Goodyear", "33.2613", "-112.3622", 
"Dalton", "34.7690", "-84.9712", 
"Bryan", "30.6657", "-96.3668", 
"Waukegan", "42.3697", "-87.8716", 
"Hawthorne", "33.9146", "-118.3476", 
"Anderson", "40.0891", "-85.6893", 
"Redwood City", "37.5026", "-122.2252", 
