dim,lr,batch,epochs
1,0.0001,64,75
2,0.1,128,10
3,0.0001,64,50
4,0.0001,32,75
5,0.01,32,10
6,0.0001,64,10
7,0.0001,64,100
8,0.0001,32,100
9,0.0001,32,150
10,0.0001,256,100
20,0.0001,32,75
30,0.001,128,150
40,0.001,128,75
50,0.01,64,100
60,0.01,256,100
70,0.0001,32,100
80,0.001,64,150
90,0.001,32,50
100,0.001,32,150
110,0.001,128,150
120,0.001,32,100
