dims,lr,batch,epochs
1,0.0001,256,50
2,0.0001,128,10
3,0.0001,256,75
4,0.0001,256,100
5,
6,0.001,256,10
7,0.0001,128,50
8,0.0001,64,50
9,
10,0.0001,128,10
20,0.0001,32,100
30,0.0001,128,10
40,0.01,64,150
50,0.01,64,50
60,
70,0.001,256,50
80,0.0001,32,100
90,0.0001,32,75
100,0.0001,128,10
110,0.0001,64,75
120,0.001,128,10
