dim,lr,batch,epochs
1,0.0001,256,75
2,0.0001,32,10
3,0.0001,64,10
4,0.0001,128,10
5,0.0001,64,10
6,0.0001,256,100
7,0.0001,64,10
8,0.0001,128,10
9,0.001,128,10
10,0.001,128,10
20,0.001,128,100
30,0.001,32,75
40,0.01,64,10
50,0.001,32,10
60,0.001,32,10
70,0.001,128,50
80,0.01,64,150
90,0.01,256,150
100,0.01,32,100
110,0.01,128,75
120,0.0001,64,150
