dim,variance,r2
1,0.12945873296341548,0.12945873296341548
2,0.13812616340037465,0.13812616340037465
3,0.18896651009412802,0.18896651009412802
4,0.19049393526489,0.19049393526489
5,0.19491869732437006,0.19491869732437006
6,0.21942568153349262,0.21942568153349262
7,0.22332886529717988,0.22332886529717988
8,0.22951038150680392,0.22951038150680392
9,0.23545404612955356,0.23545404612955356
10,0.23637132032585884,0.23637132032585884
11,0.2336569410860071,0.2336569410860071
12,0.23626096393258478,0.23626096393258478
13,0.24349971739318244,0.24349971739318244
14,0.2405693427670198,0.2405693427670198
15,0.2569664720137643,0.2569664720137643
16,0.2499333440776449,0.2499333440776449
17,0.2565317246921651,0.2565317246921651
18,0.26100550698077774,0.26100550698077774
19,0.2586432975332732,0.2586432975332732
20,0.2654985573359172,0.2654985573359172
21,0.2693172991896474,0.2693172991896474
22,0.2664492767851021,0.2664492767851021
23,0.2750122665995306,0.2750122665995306
24,0.2761423655562356,0.2761423655562356
25,0.2766982582713555,0.2766982582713555
26,0.27780421475990913,0.27780421475990913
27,0.2768491484248755,0.2768491484248755
28,0.278449627636957,0.278449627636957
29,0.27866766717424174,0.27866766717424174
30,0.27749748191948675,0.27749748191948675
31,0.27777020261968055,0.27777020261968055
32,0.27847214641555407,0.27847214641555407
33,0.28181840844172257,0.28181840844172257
34,0.2813158417577174,0.2813158417577174
35,0.303185520795877,0.303185520795877
36,0.3018235769546721,0.3018235769546721
37,0.30139651474233553,0.30139651474233553
38,0.30477836576316875,0.30477836576316875
39,0.30500080876329383,0.30500080876329383
40,0.3051221797824475,0.3051221797824475
41,0.30783446057597463,0.30783446057597463
42,0.30560884681849476,0.30560884681849476
43,0.3065105705039911,0.3065105705039911
44,0.3054983244934748,0.3054983244934748
45,0.3107097892782469,0.3107097892782469
46,0.31277518970421736,0.31277518970421736
47,0.3122699965588944,0.3122699965588944
48,0.3134910630947484,0.3134910630947484
49,0.3162242962633385,0.3162242962633385
50,0.3129100244454659,0.3129100244454659
51,0.31576255845041556,0.31576255845041556
52,0.31782550370134854,0.31782550370134854
53,0.31824633925355017,0.31824633925355017
54,0.3194174496290004,0.3194174496290004
55,0.32003892724310024,0.32003892724310024
56,0.3263004772373358,0.3263004772373358
57,0.3271596023749036,0.3271596023749036
58,0.32910907735212347,0.32910907735212347
59,0.3286518691085799,0.3286518691085799
60,0.33301326167123113,0.33301326167123113
61,0.33147997716884425,0.33147997716884425
62,0.32965408578673616,0.32965408578673616
63,0.3374677396783564,0.3374677396783564
64,0.3333747207187908,0.3333747207187908
65,0.3383099706617585,0.3383099706617585
66,0.3384183008263857,0.3384183008263857
67,0.3376868175065295,0.3376868175065295
68,0.3380896161120629,0.3380896161120629
69,0.33651551804190616,0.33651551804190616
70,0.3371749467153643,0.3371749467153643
71,0.33550119830516845,0.33550119830516845
72,0.33522559292556586,0.33522559292556586
73,0.3408507368551926,0.3408507368551926
74,0.33844940309878235,0.33844940309878235
75,0.33971973177100845,0.33971973177100845
76,0.34078422958388743,0.34078422958388743
77,0.34052706393254906,0.34052706393254906
78,0.340169065612712,0.340169065612712
79,0.3398616190373215,0.3398616190373215
80,0.3379936586818989,0.3379936586818989
81,0.34230037116437484,0.34230037116437484
82,0.34063086281922617,0.34063086281922617
83,0.3420713029962389,0.3420713029962389
84,0.3427177222956834,0.3427177222956834
85,0.3417975744825922,0.3417975744825922
86,0.3442248703661801,0.3442248703661801
87,0.3447812155683886,0.3447812155683886
88,0.3433019712618669,0.3433019712618669
89,0.34255829466377474,0.34255829466377474
90,0.34318117422258754,0.34318117422258754
91,0.3428040937647726,0.3428040937647726
92,0.3406315692835419,0.3406315692835419
93,0.33998764063995823,0.33998764063995823
94,0.3441524107230274,0.3441524107230274
95,0.34388441338061626,0.34388441338061626
96,0.3431568947581404,0.3431568947581404
97,0.34567435500995547,0.34567435500995547
98,0.3452725055835222,0.3452725055835222
99,0.34548226651850344,0.34548226651850344
100,0.3453799928114213,0.3453799928114213
101,0.3445044918401994,0.3445044918401994
102,0.34496009951705586,0.34496009951705586
103,0.3454845846766087,0.3454845846766087
104,0.3461018487108407,0.3461018487108407
105,0.34548757299028954,0.34548757299028954
106,0.34597930750881545,0.34597930750881545
107,0.34694212243600797,0.34694212243600797
108,0.35011965668801337,0.35011965668801337
109,0.3505197466439701,0.3505197466439701
110,0.34949397971341933,0.34949397971341933
111,0.3498245378404481,0.3498245378404481
112,0.3555569416179625,0.3555569416179625
113,0.34809578207544933,0.34809578207544933
114,0.35307930778642216,0.35307930778642216
115,0.35026639322291964,0.35026639322291964
116,0.3509568443084524,0.3509568443084524
117,0.35571915907539364,0.35571915907539364
118,0.35811942992095147,0.35811942992095147
119,0.36051630761671294,0.36051630761671294
120,0.35416189683959065,0.35416189683959065
121,0.3516701680117107,0.3516701680117107
122,0.3552632444997502,0.3552632444997502
123,0.356797580773367,0.356797580773367
124,0.3586435126767322,0.3586435126767322
125,0.366729589327376,0.366729589327376
126,0.36427024460979873,0.36427024460979873
127,0.3706500383375808,0.3706500383375808
128,0.37089907455049254,0.37089907455049254
129,0.36999835683095317,0.36999835683095317
130,0.3739286138573866,0.3739286138573866
131,0.3715004053252636,0.3715004053252636
132,0.3807349560536899,0.3807349560536899
133,0.3745134603108905,0.3745134603108905
134,0.38456331446784675,0.38456331446784675
135,0.3824069466626234,0.3824069466626234
136,0.38087324439713466,0.38087324439713466
137,0.3874682838017923,0.3874682838017923
138,0.38433593515597164,0.38433593515597164
139,0.38035714433580425,0.38035714433580425
140,0.37691662921808855,0.37691662921808855
141,0.3845047579672517,0.3845047579672517
142,0.38465928324204735,0.38465928324204735
143,0.37199804684275606,0.37199804684275606
144,0.38575807964314246,0.38575807964314246
145,0.3819597548691813,0.3819597548691813
146,0.3759260677448395,0.3759260677448395
147,0.38295178733126456,0.38295178733126456
148,0.38226715226616004,0.38226715226616004
149,0.38281893915564624,0.38281893915564624
150,0.38305146045806227,0.38305146045806227
151,0.38444992572065095,0.38444992572065095
152,0.3844378087747713,0.3844378087747713
153,0.3876038730493584,0.3876038730493584
154,0.38204299137204834,0.38204299137204834
155,0.38651212370897425,0.38651212370897425
156,0.3795743264931106,0.3795743264931106
157,0.3850759257751143,0.3850759257751143
158,0.3813619834942279,0.3813619834942279
159,0.3759380558381047,0.3759380558381047
160,0.3800983648493852,0.3800983648493852
161,0.37660561076395704,0.37660561076395704
162,0.3792258629398212,0.3792258629398212
163,0.3784233811990585,0.3784233811990585
164,0.3806706372133174,0.3806706372133174
165,0.38434920859088195,0.38434920859088195
166,0.38790396137281,0.38790396137281
167,0.3812465797089053,0.3812465797089053
168,0.3861438032431893,0.3861438032431893
169,0.3853329829377392,0.3853329829377392
170,0.3849716846786896,0.3849716846786896
171,0.3870264678576292,0.3870264678576292
172,0.38211600784737354,0.38211600784737354
173,0.38194794516738695,0.38194794516738695
174,0.38178270717280116,0.38178270717280116
175,0.38486902980581195,0.38486902980581195
176,0.3857302210766832,0.3857302210766832
177,0.39698363898628053,0.39698363898628053
178,0.38699414806724386,0.38699414806724386
179,0.39024127096824035,0.39024127096824035
180,0.38511901120749037,0.38511901120749037
181,0.38866380001885636,0.38866380001885636
182,0.38696356356521855,0.38696356356521855
183,0.38645720298880537,0.38645720298880537
184,0.38555881620725674,0.38555881620725674
185,0.3869009475419293,0.3869009475419293
186,0.3882717157174932,0.3882717157174932
187,0.3853339451237625,0.3853339451237625
188,0.38711056079213046,0.38711056079213046
189,0.3855563830624992,0.3855563830624992
190,0.3877776592176031,0.3877776592176031
