dim,variance,r2
1,0.1542362168152878,0.1542362168152878
2,0.1623775697247348,0.1623775697247348
3,0.2884560967111608,0.2884560967111608
4,0.2944586000134328,0.2944586000134328
5,0.3101568245716549,0.3101568245716549
6,0.3665955842478957,0.3665955842478957
7,0.3780789063369851,0.3780789063369851
8,0.3793826712793422,0.3793826712793422
9,0.3809944244930271,0.3809944244930271
10,0.3805059453141252,0.3805059453141252
11,0.3815681259011108,0.3815681259011108
12,0.4066969419287789,0.4066969419287789
13,0.4137855773651514,0.4137855773651514
14,0.4203606538805887,0.4203606538805887
15,0.4200530189374201,0.4200530189374201
16,0.4206614450057493,0.4206614450057493
17,0.4212016168307152,0.4212016168307152
18,0.4213591359417566,0.4213591359417566
19,0.4310468144273969,0.4310468144273969
20,0.4308410901671172,0.4308410901671172
21,0.4316446300777962,0.4316446300777962
22,0.4352453073305357,0.4352453073305357
23,0.4372086769692908,0.4372086769692908
24,0.4386692646654956,0.4386692646654956
25,0.4497810596864443,0.4497810596864443
26,0.4491879543648528,0.4491879543648528
27,0.4494010025807282,0.4494010025807282
28,0.4479228885750624,0.4479228885750624
29,0.4479828991387831,0.4479828991387831
30,0.4472120869510303,0.4472120869510303
31,0.4533135474628649,0.4533135474628649
32,0.4568378009329471,0.4568378009329471
33,0.4604853496195966,0.4604853496195966
34,0.4570018781635445,0.4570018781635445
35,0.4644651953122537,0.4644651953122537
36,0.4650644314151988,0.4650644314151988
37,0.4645741591879881,0.4645741591879881
38,0.4664531521381792,0.4664531521381792
39,0.4732865522198395,0.4732865522198395
40,0.4735491339702912,0.4735491339702912
41,0.4734155234644063,0.4734155234644063
42,0.4728844683270236,0.4728844683270236
43,0.4780167513480189,0.4780167513480189
44,0.4793157394747513,0.4793157394747513
45,0.4793711116278331,0.4793711116278331
46,0.4794090398646586,0.4794090398646586
47,0.4830693115396053,0.4830693115396053
48,0.4826320732224841,0.4826320732224841
49,0.4844783612480746,0.4844783612480746
50,0.4865106674580093,0.4865106674580093
51,0.4847873050714211,0.4847873050714211
52,0.4859779798198007,0.4859779798198007
53,0.4887597423626348,0.4887597423626348
54,0.4917886330831552,0.4917886330831552
55,0.4936738219886952,0.4936738219886952
56,0.4923007192253348,0.4923007192253348
57,0.4931906936445559,0.4931906936445559
58,0.4937561571214618,0.4937561571214618
59,0.4936189845336991,0.4936189845336991
60,0.4940829665780527,0.4940829665780527
61,0.4945831025589448,0.4945831025589448
62,0.4957472395769822,0.4957472395769822
63,0.4973005696634877,0.4973005696634877
64,0.4990628506255977,0.4990628506255977
65,0.4975053682068223,0.4975053682068223
66,0.4982738129444483,0.4982738129444483
67,0.4985143681557037,0.4985143681557037
68,0.5026702221121535,0.5026702221121535
69,0.5046113522443956,0.5046113522443956
70,0.502801567106445,0.502801567106445
71,0.5018343780047181,0.5018343780047181
72,0.5027804993010975,0.5027804993010975
