dim,variance,r2
1,0.2421438053291854,0.2421438053291854
2,0.2506887464900013,0.2506887464900013
3,0.4334279609453534,0.4334279609453534
4,0.4381775793131233,0.4381775793131233
5,0.4627145970207758,0.4627145970207758
6,0.54872643079891,0.54872643079891
7,0.568663158728057,0.568663158728057
8,0.5687351732706736,0.5687351732706736
9,0.5695136578517479,0.5695136578517479
10,0.5701814669844172,0.5701814669844172
11,0.5732661009757538,0.5732661009757538
12,0.6095803290507913,0.6095803290507913
13,0.6251775464074025,0.6251775464074025
14,0.6325780198921201,0.6325780198921201
15,0.6331961516208897,0.6331961516208897
16,0.6336840915393791,0.6336840915393791
17,0.6330541013331009,0.6330541013331009
18,0.6332408306630384,0.6332408306630384
19,0.6524518967882224,0.6524518967882224
20,0.6527464875294033,0.6527464875294033
21,0.6546156774085166,0.6546156774085166
22,0.658409210499745,0.658409210499745
23,0.6598353470042859,0.6598353470042859
24,0.6629707479583464,0.6629707479583464
25,0.6636619641613651,0.6636619641613651
26,0.6716252403747245,0.6716252403747245
27,0.6708236029022032,0.6708236029022032
28,0.6721233287804702,0.6721233287804702
29,0.6729611859665545,0.6729611859665545
30,0.6712604373723376,0.6712604373723376
31,0.6808583453896396,0.6808583453896396
32,0.6926251747259291,0.6926251747259291
33,0.6924085149068047,0.6924085149068047
34,0.6921782255699565,0.6921782255699565
35,0.6984910641953135,0.6984910641953135
36,0.6968623378417657,0.6968623378417657
37,0.7020152153830574,0.7020152153830574
38,0.7017507458528824,0.7017507458528824
39,0.7021674514982061,0.7021674514982061
40,0.7032581009455378,0.7032581009455378
41,0.7074326281827958,0.7074326281827958
42,0.7065400705778961,0.7065400705778961
43,0.7143125155272028,0.7143125155272028
44,0.711978960414992,0.711978960414992
45,0.714526983182821,0.714526983182821
46,0.7161429741573561,0.7161429741573561
47,0.7170921945467781,0.7170921945467781
48,0.720163866709392,0.720163866709392
49,0.7196570985185253,0.7196570985185253
50,0.7228801127326152,0.7228801127326152
51,0.7232057126435987,0.7232057126435987
52,0.7232600270973077,0.7232600270973077
53,0.7217946736653187,0.7217946736653187
54,0.725701112909952,0.725701112909952
55,0.7249943654737906,0.7249943654737906
56,0.7244592876488782,0.7244592876488782
57,0.7262462572064246,0.7262462572064246
58,0.7265003390406483,0.7265003390406483
59,0.7275823128311619,0.7275823128311619
60,0.7266238922357533,0.7266238922357533
61,0.7265876113998393,0.7265876113998393
62,0.7266854819457771,0.7266854819457771
63,0.7272076490339929,0.7272076490339929
64,0.7265175621124881,0.7265175621124881
65,0.7257353353527806,0.7257353353527806
66,0.7247275970939074,0.7247275970939074
67,0.7269690360356871,0.7269690360356871
68,0.7284689270161174,0.7284689270161174
69,0.7266401390886528,0.7266401390886528
70,0.7327687748518129,0.7327687748518129
71,0.7299786459707187,0.7299786459707187
72,0.7295701719261592,0.7295701719261592
73,0.7294209037783128,0.7294209037783128
74,0.733638468147314,0.733638468147314
75,0.7332724512640001,0.7332724512640001
76,0.7410064651362716,0.7410064651362716
77,0.7430036288688198,0.7430036288688198
78,0.741617654473192,0.741617654473192
79,0.7424070141712522,0.7424070141712522
80,0.7447455887993083,0.7447455887993083
81,0.7440565194163127,0.7440565194163127
82,0.7451880281070218,0.7451880281070218
83,0.7471802744907527,0.7471802744907527
84,0.7469852001174069,0.7469852001174069
85,0.7475427288640271,0.7475427288640271
86,0.7467432391548896,0.7467432391548896
87,0.7480434173191914,0.7480434173191914
88,0.7490310883179849,0.7490310883179849
89,0.7486487372615054,0.7486487372615054
90,0.7498614190528989,0.7498614190528989
91,0.7510098751594017,0.7510098751594017
92,0.7557350306976467,0.7557350306976467
93,0.7556097373775136,0.7556097373775136
94,0.7548608229116635,0.7548608229116635
95,0.7551230954127779,0.7551230954127779
96,0.762030259904052,0.762030259904052
97,0.7590480529852465,0.7590480529852465
98,0.7593822688214085,0.7593822688214085
99,0.7602697301846629,0.7602697301846629
100,0.7609929252476753,0.7609929252476753
101,0.7648499677767306,0.7648499677767306
102,0.7675257403509668,0.7675257403509668
103,0.7615115290634904,0.7615115290634904
104,0.7657122474604888,0.7657122474604888
105,0.7649364046425212,0.7649364046425212
106,0.7644312260648696,0.7644312260648696
107,0.7674650021612672,0.7674650021612672
108,0.7670548129296143,0.7670548129296143
109,0.7667580061918721,0.7667580061918721
110,0.766261458904915,0.766261458904915
111,0.7695887098325696,0.7695887098325696
112,0.7672428467632992,0.7672428467632992
113,0.7696783857034384,0.7696783857034384
114,0.7690838358846099,0.7690838358846099
115,0.7688134532932583,0.7688134532932583
116,0.7708564692061597,0.7708564692061597
117,0.7703713056569278,0.7703713056569278
118,0.7695109392201497,0.7695109392201497
119,0.7701792090041375,0.7701792090041375
120,0.7718837174862988,0.7718837174862988
121,0.7723249005938827,0.7723249005938827
122,0.7718288604816129,0.7718288604816129
123,0.7718230914180854,0.7718230914180854
124,0.7700482175874183,0.7700482175874183
125,0.7720156579561046,0.7720156579561046
126,0.7723909846832999,0.7723909846832999
127,0.7718152160684333,0.7718152160684333
128,0.773724452371392,0.773724452371392
129,0.7735355197568685,0.7735355197568685
130,0.7732876318966507,0.7732876318966507
131,0.7758579162631205,0.7758579162631205
132,0.77523936152766,0.77523936152766
133,0.7756829053256403,0.7756829053256403
134,0.7732537847754417,0.7732537847754417
135,0.7770647233519097,0.7770647233519097
136,0.7763319650498444,0.7763319650498444
137,0.7748870748061386,0.7748870748061386
138,0.7750605697943261,0.7750605697943261
139,0.777502460344306,0.777502460344306
140,0.7749827180636599,0.7749827180636599
141,0.7778655723649196,0.7778655723649196
142,0.7756527539806617,0.7756527539806617
143,0.7779257050814579,0.7779257050814579
144,0.7766508430776957,0.7766508430776957
145,0.7770976072910802,0.7770976072910802
146,0.7780197856530312,0.7780197856530312
147,0.777410730597299,0.777410730597299
148,0.7778535053946722,0.7778535053946722
149,0.7774869467663716,0.7774869467663716
150,0.7772353434983692,0.7772353434983692
151,0.776684103712948,0.776684103712948
152,0.7775991662424377,0.7775991662424377
153,0.7773394073219664,0.7773394073219664
154,0.7779106737420379,0.7779106737420379
155,0.7792110441733606,0.7792110441733606
156,0.7791995497015755,0.7791995497015755
157,0.7800703894025176,0.7800703894025176
158,0.7800693181582256,0.7800693181582256
159,0.7808742121040698,0.7808742121040698
160,0.7810398395063268,0.7810398395063268
161,0.7810252477205208,0.7810252477205208
162,0.7809535719470626,0.7809535719470626
163,0.7811603849166119,0.7811603849166119
164,0.7810667999316412,0.7810667999316412
165,0.7815928925967237,0.7815928925967237
166,0.7817008038815882,0.7817008038815882
167,0.7817704560067623,0.7817704560067623
168,0.781794477956422,0.781794477956422
169,0.781587094964125,0.781587094964125
170,0.7820120916406659,0.7820120916406659
171,0.7828330552813791,0.7828330552813791
172,0.7829625638894934,0.7829625638894934
173,0.7828781456097788,0.7828781456097788
174,0.7834724557557264,0.7834724557557264
175,0.7830261587465993,0.7830261587465993
176,0.7831306293193248,0.7831306293193248
177,0.783336612794291,0.783336612794291
178,0.7838506590896549,0.7838506590896549
179,0.7840312218114188,0.7840312218114188
180,0.78402699195318,0.78402699195318
181,0.7846764939598816,0.7846764939598816
182,0.7847428285143022,0.7847428285143022
183,0.7845185951419893,0.7845185951419893
184,0.7849167260084617,0.7849167260084617
185,0.7848875981499585,0.7848875981499585
186,0.7848492258153921,0.7848492258153921
187,0.7852586130068673,0.7852586130068673
188,0.7859975546369198,0.7859975546369198
189,0.7856192527385383,0.7856192527385383
190,0.7841601317124265,0.7841601317124265
