dim,variance,r2
1,0.1566500489808198,0.1566500489808198
2,0.1631323233453745,0.1631323233453745
3,0.3136279894075684,0.3136279894075684
4,0.3192270644315736,0.3192270644315736
5,0.3326365080276019,0.3326365080276019
6,0.4048705284384227,0.4048705284384227
7,0.4196117563639931,0.4196117563639931
8,0.4204915300595003,0.4204915300595003
9,0.4220610901198621,0.4220610901198621
10,0.4222332852025509,0.4222332852025509
11,0.4241859445537754,0.4241859445537754
12,0.4612355193787496,0.4612355193787496
13,0.4674570928654448,0.4674570928654448
14,0.475349835525845,0.475349835525845
15,0.4754183020753052,0.4754183020753052
16,0.4759318252244346,0.4759318252244346
17,0.4769114763252352,0.4769114763252352
18,0.4775341913521852,0.4775341913521852
19,0.4887241749555971,0.4887241749555971
20,0.4908238483853019,0.4908238483853019
21,0.4920125105368992,0.4920125105368992
22,0.492337499815517,0.492337499815517
23,0.4968841127146338,0.4968841127146338
24,0.4981088768764126,0.4981088768764126
25,0.5010238063051393,0.5010238063051393
26,0.5068211751140597,0.5068211751140597
27,0.5076149266415373,0.5076149266415373
28,0.5049510943523079,0.5049510943523079
29,0.5072596091132358,0.5072596091132358
30,0.5065733727217127,0.5065733727217127
31,0.5134857746554566,0.5134857746554566
32,0.5139601126874711,0.5139601126874711
33,0.514260715167356,0.514260715167356
34,0.5160040576107916,0.5160040576107916
35,0.5244507230101643,0.5244507230101643
36,0.5235472984269164,0.5235472984269164
37,0.5244654340030679,0.5244654340030679
38,0.5288450894240228,0.5288450894240228
39,0.5261228346237137,0.5261228346237137
40,0.533068609014308,0.533068609014308
41,0.536735681490983,0.536735681490983
42,0.538144180077945,0.538144180077945
43,0.5398272782213165,0.5398272782213165
44,0.5403504784671784,0.5403504784671784
45,0.5398834645603134,0.5398834645603134
46,0.5438113533383493,0.5438113533383493
47,0.5465934019870944,0.5465934019870944
48,0.5467242230481948,0.5467242230481948
49,0.5485713495048763,0.5485713495048763
50,0.546514512477729,0.546514512477729
51,0.5514369486000041,0.5514369486000041
52,0.5474394216778118,0.5474394216778118
53,0.5475434570110442,0.5475434570110442
54,0.5512670386879654,0.5512670386879654
55,0.5556618742221917,0.5556618742221917
