city,lat,lon,pm25_2021_05_08,pm25_2021_05_09,pm25_2021_05_10,pm25_2021_05_11,pm25_2021_05_12,pm25_2021_05_13,pm25_2021_05_14,pm25_2021_05_15,pm25_2021_05_16,pm25_2021_05_17,pm25_2021_05_18,pm25_2021_05_19,pm25_2021_05_20,pm25_2021_05_21,pm25_2021_05_22,pm25_2021_05_23,pm25_2021_05_24,pm25_2021_05_25,pm25_2021_05_26,pm25_2021_05_27,pm25_2021_05_28,pm25_2021_05_29,pm25_2021_05_30,pm25_2021_05_31,pm25_2021_06_01,pm25_2021_06_02,pm25_2021_06_03,pm25_2021_06_04,pm25_2021_06_05,pm25_2021_06_06,pm25_2021_06_07
Dayton,39.7797,-84.1998,0.02083,1.48,2.06542,4.94792,2.12333,2.00083,4.61417,7.26875,11.27958,11.14708,13.09917,11.88042,9.41,9.93708,10.39,10.9725,6.86375,8.06042,13.22667,8.2625,7.62292,5.73375,1.39708,4.43625,11.54792,14.37583,9.79,4.15417,10.315,15.96542,9.51417,4.07708
Rochester,43.168,-77.6162,0.53583,6.8025,4.8075,4.45875,1.60875,1.33375,3.76292,6.12083,12.33333,13.2825,14.27,16.97375,15.96125,16.68292,13.66083,10.84583,8.4625,3.02625,6.84167,7.76833,1.56375,1.00042,2.84792,4.04875,5.42583,8.78417,10.2075,5.66958,10.795,9.43958,12.53208,6.52458
Fresno,36.7831,-119.7941,0.18917,4.3375,2.845,4.26042,6.21042,7.28292,7.54958,7.15333,2.90417,6.87542,6.09792,3.71042,2.30333,2.29583,1.8975,2.72083,3.41667,5.81042,2.91208,4.70167,5.02583,4.31708,5.49125,6.99375,10.67083,9.30625,7.48875,6.74792,6.90208,3.04917,6.11458,3.00917
Allentown,40.5961,-75.4756,0.1875,2.88333,3.32583,4.93333,2.26708,1.18792,2.55125,5.46708,5.31375,8.59833,8.44958,10.35542,10.28375,14.90875,10.39458,12.58292,4.3175,2.32,4.21833,11.02292,5.49417,2.55833,1.215,0.87417,3.02625,9.10125,9.56083,5.03125,3.54292,10.19417,12.89375,11.22542
Tulsa,36.1284,-95.9042,0.16625,5.64417,2.67125,1.425,3.66667,5.20542,5.51,5.26292,6.6775,5.72417,3.96708,2.69958,1.59875,1.56292,1.43333,1.84792,5.4725,6.33208,2.41125,3.08958,2.96125,2.80792,3.145,2.89958,6.05583,5.71208,3.8025,5.53958,3.97292,4.04208,2.305,1.52625
CapeCoral,26.6446,-81.9956,0.09667,5.4275,4.36125,5.11375,4.69292,5.27125,6.00875,3.99375,4.03708,3.58083,3.62583,2.85792,2.93375,3.65583,4.06208,2.99125,3.38125,3.64125,4.51583,7.62792,7.88333,6.5925,5.39708,4.10333,7.07458,2.05833,2.95083,2.09875,3.52,3.51875,5.00042,6.53375
Concord,37.9722,-122.0016,0.14125,2.0575,1.82625,2.91042,7.815,7.8975,5.09333,4.63167,5.39333,5.51833,2.85458,1.86417,1.93708,0.87167,1.75667,4.05042,4.48708,3.89667,2.29,5.38583,3.30625,4.97208,5.905,7.64375,8.24375,7.6975,3.50625,4.06417,4.09125,4.9725,4.80667,2.65167
ColoradoSprings,38.8674,-104.7606,0.2425,4.215,0.84042,0.62167,0.8325,2.53167,5.87958,5.80292,3.99542,2.66917,2.1775,1.68292,2.94958,4.1775,4.30042,3.06292,1.90875,2.73542,3.66167,3.83583,4.07542,3.39542,4.68792,1.75958,0.9825,2.70958,3.10667,5.145,5.91167,6.31792,3.52458,4.48417
Charleston,32.8153,-79.9628,0.11667,2.65667,5.02208,7.96,5.48208,4.93708,3.89875,3.73208,5.16458,7.71875,7.42917,4.15583,2.775,3.30542,5.28667,4.75208,4.16292,6.37333,6.315,9.10708,9.89333,10.84458,7.09458,2.83875,3.07208,4.10458,2.30583,3.55292,3.2,5.22667,6.17208,8.06
Springfield,42.1155,-72.5395,0.2375,3.08292,2.18542,2.38125,1.55083,0.89208,2.44917,4.19083,4.37625,4.04208,6.715,6.05667,6.83458,8.09542,14.25833,9.56667,2.24083,1.38583,8.00167,13.1575,4.24875,1.4475,0.7775,0.71833,1.7325,5.74167,15.48083,7.45583,3.62792,6.67167,12.33125,20.01833
GrandRapids,42.962,-85.6562,0.05125,1.21667,2.16333,0.77917,0.74167,1.8425,6.23625,12.25208,10.87625,9.30542,12.00083,7.1575,8.47167,6.67167,5.94292,11.53833,7.535,5.00917,7.23125,2.65542,0.775,0.5525,0.85542,3.11042,8.88125,14.14917,9.89042,9.86958,9.645,8.58458,6.28417,4.9225
MissionViejo,33.6095,-117.6550,0.18208,4.4575,5.46958,5.45542,8.34542,12.62292,10.6875,12.73625,2.38625,2.28458,3.37167,5.77667,7.89542,4.01833,4.00833,3.96625,7.15708,13.5875,11.00667,6.41417,5.44583,5.99458,4.83417,5.45875,6.86875,9.14875,13.91833,6.19917,4.80083,3.57708,2.36583,3.49125
Albany,42.6664,-73.7987,0.36167,4.56417,2.34667,2.055,1.82292,0.68125,2.96042,3.77417,3.87125,4.28167,5.76333,6.09917,14.78833,17.37875,13.65917,12.10125,3.36667,4.27458,4.68333,9.87333,2.92375,1.44083,0.95958,1.29542,2.09417,7.33083,10.59208,8.57375,2.69875,5.54667,11.25042,10.1725
Knoxville,35.9692,-83.9496,0.1625,4.75167,3.79292,3.265,3.87542,2.25333,2.97458,4.02625,6.89292,10.90833,12.08917,8.2675,6.26167,4.68167,7.30375,7.57833,10.58583,13.03542,12.16958,10.99042,3.4075,4.12542,2.355,2.28625,8.43208,8.67958,5.71125,2.45708,3.80542,5.00292,5.63917,2.05333
Bakersfield,35.3529,-119.0359,0.1375,6.195,4.88958,4.74917,6.08333,6.41083,7.71625,6.48083,2.03583,4.05542,5.1525,4.47,3.15125,2.11125,1.57875,2.28167,3.51042,5.41458,5.16042,4.28667,5.78625,5.92667,4.81958,6.7725,8.46208,8.44417,7.29,5.47875,3.47542,2.4175,2.79208,3.63542
Ogden,41.2278,-111.9682,0.07083,1.18,1.94458,1.66,2.21375,3.14583,4.5575,3.93167,1.44875,2.64042,3.89042,4.81833,5.32792,5.16792,3.48208,6.37958,1.78292,1.67458,3.09458,2.69375,2.43458,2.85583,1.89417,6.4225,3.46083,2.75375,3.39083,3.71542,3.83125,5.2675,5.09417,6.81292
BatonRouge,30.4418,-91.1310,0.26917,8.81458,7.13583,7.84333,12.52625,6.23167,5.78042,8.53958,10.11292,7.47833,6.2825,4.82667,4.62375,5.65542,6.82333,7.10042,5.21333,8.52708,5.00667,4.17,4.97875,4.0625,4.24417,6.05667,10.055,11.06083,5.01667,6.34333,9.04125,4.36333,3.80958,8.76333
Akron,41.0798,-81.5219,0.11833,2.67792,2.875,4.4475,2.71708,2.62917,4.5925,8.30583,10.24458,11.39292,16.07667,18.90417,14.67792,11.00125,8.65917,9.15458,7.81,6.10083,9.01167,9.21125,3.81083,2.84667,1.21125,4.62875,7.29458,9.48292,12.70375,4.81,9.38625,14.20833,8.61333,5.34333
NewHaven,41.3112,-72.9246,0.22625,4.80542,5.00083,2.39333,2.03625,0.93708,4.32792,2.9875,6.7025,14.48375,11.0525,9.75375,11.39833,7.59333,13.20292,8.22292,3.68792,1.1225,3.46208,16.12583,5.13292,1.9275,0.99667,0.91,1.81833,14.92792,17.94375,6.89208,10.12833,11.76417,16.7825,22.64042
Columbia,34.0376,-80.9037,0.08875,2.645,4.43542,4.93208,3.26042,4.14875,4.28,6.46458,6.26333,7.5225,8.87542,5.78208,2.81375,4.0675,4.91667,7.16958,9.02583,11.16125,12.47875,7.385,6.63542,5.61,2.5375,1.63667,3.47167,4.72042,3.42667,2.16417,3.06958,4.93542,3.765,5.49
Mesa,33.4017,-111.7180,0.27875,5.83833,5.56083,4.77792,7.06167,10.73375,8.92833,7.75208,4.55292,5.2075,6.15292,8.85708,9.02875,5.85042,4.50542,6.66583,4.73083,6.87167,6.54,8.84,8.46833,7.8175,4.46875,4.91042,7.15583,4.9,4.45333,5.22292,6.095,6.94542,5.70958,5.91042
PalmBay,27.955,-80.6627,0.24542,5.58042,5.39042,6.3825,6.81708,7.44167,5.11333,3.91458,4.1,3.35458,2.51083,2.45208,2.80167,3.53167,5.19875,3.25458,1.73625,2.67583,4.49417,6.375,5.66125,6.89875,8.93625,6.51708,5.12958,1.77667,1.86083,4.71375,8.04958,6.95792,7.29667,6.16042
Provo,40.2457,-111.6457,0.11917,2.13542,2.24792,2.59917,2.96083,4.18917,4.30708,5.50417,6.60667,4.58583,4.13542,4.94042,3.64167,7.3525,5.39667,8.78708,1.44708,1.30625,2.1825,3.15167,3.36125,4.46833,3.91875,4.535,3.5425,2.81208,3.38958,3.20333,3.88583,5.07708,6.89,8.99208
Worcester,42.2705,-71.8079,0.19083,2.94625,3.31125,3.76708,1.54,0.7875,1.3475,1.85792,3.10833,3.50083,4.97292,4.70042,4.39875,5.55667,6.03167,10.16417,2.28417,1.16958,3.435,15.21917,5.05708,2.76917,0.82625,0.86375,1.00375,7.59,19.27417,4.94667,4.68625,8.23917,12.77125,20.66375
Murrieta,33.572,-117.1909,0.14375,4.88208,6.21167,6.42833,9.7825,14.37833,13.20583,9.91542,3.26458,1.85333,4.69542,6.00583,8.18708,3.80125,3.635,2.92542,8.29042,13.83,11.00875,6.92792,5.80167,6.44083,4.53833,5.6225,8.14458,10.27833,12.38375,8.70125,5.68958,4.03125,2.56458,2.9475
Greenville,34.8353,-82.3647,0.08625,2.72708,4.8425,3.88708,3.90708,3.31083,3.76,5.2075,7.20833,8.9375,11.7575,9.77042,5.83625,4.0125,7.51542,9.29167,8.07833,11.51083,13.37333,12.14167,6.3125,4.56583,2.47417,2.10625,6.015,8.29583,5.67375,2.72583,2.95125,5.08917,4.00125,2.56
Wichita,37.6896,-97.3442,0.135,6.95833,2.39875,2.86583,4.38958,4.26458,4.56292,4.49042,5.46,3.90375,3.12583,4.15458,2.47708,2.47708,1.41708,1.3625,2.67083,3.25167,1.1,2.64833,2.87375,1.84042,3.03833,2.9575,4.68625,5.39625,5.17875,4.49917,5.51792,4.72833,1.60958,1.46083
Toledo,41.6639,-83.5822,0.04208,1.30042,1.71208,3.50542,1.125,6.26917,5.57083,4.85042,8.11917,12.60792,15.0675,17.95708,11.17375,9.71542,7.89,8.27375,5.55125,7.87292,7.12083,4.065,5.45375,2.03167,2.01125,3.60333,5.65958,10.55208,11.02667,5.97125,11.62292,10.44083,6.74292,3.59125
StatenIsland,40.5834,-74.1496,0.48625,6.49417,4.30542,4.48292,2.9375,2.4075,5.66,9.815,23.70583,16.3525,12.62875,10.99417,18.11042,19.92292,9.24833,12.05208,4.55125,1.85458,3.26958,16.52833,6.55667,3.18792,1.84583,1.88167,3.24708,11.23792,11.36083,6.32583,4.61208,13.33208,17.53333,12.8025
DesMoines,41.5725,-93.6105,0.06708,1.3425,2.05625,2.27667,1.78667,3.075,3.875,4.2775,3.46375,4.38042,5.02958,5.32542,1.45875,1.39625,1.34833,2.93208,2.51792,4.9825,2.19792,3.38,2.61833,0.77958,2.1075,4.39083,5.505,3.74833,7.345,5.80542,5.75292,6.42292,2.85375,1.43875
LongBeach,33.7981,-118.1675,0.2275,4.83875,7.4325,6.39292,9.90375,9.02458,7.81208,5.67083,2.68958,3.51833,3.385,4.98333,5.88458,4.72417,8.33542,4.04667,9.66958,18.63292,9.72417,7.31292,6.28458,7.62583,5.99542,7.37167,8.05792,13.3725,11.49375,5.66333,7.7975,4.29958,3.35,3.76208
PortSt.Lucie,27.2796,-80.3883,0.235,4.755,5.45083,5.51667,5.74958,6.64708,5.29292,3.21667,4.48417,3.57542,2.6625,2.63708,3.40458,3.81,4.65125,3.78625,2.30125,3.04833,4.24708,6.34958,5.09667,8.06583,6.47917,6.50875,2.47833,1.2575,2.00833,5.2275,7.13458,6.655,7.17417,6.16875
Denton,33.2176,-97.1419,0.33125,5.76,3.80375,2.32875,1.86208,4.32833,5.17333,7.48208,7.46208,6.0675,4.68167,3.32375,1.8275,3.27375,2.60167,3.17958,6.31167,4.18833,1.70708,2.55208,3.82208,3.66125,4.57417,5.18792,6.35625,4.18458,2.94875,4.00583,8.37,6.28125,3.41542,4.29917
Madison,43.0826,-89.3931,0.08417,2.2475,2.09917,1.21125,1.68458,2.47083,3.72375,4.07125,4.74625,6.01792,11.325,11.68083,4.37375,4.81458,3.7675,4.20417,1.62083,4.99083,3.28708,1.92958,0.68625,0.68333,1.60417,5.08833,8.67792,8.28083,11.22333,7.32125,5.59833,8.44208,3.58375,2.89625
Reno,39.5497,-119.8483,0.04417,1.63417,1.67208,1.4575,1.92042,3.6925,6.45792,6.91542,3.4375,1.38417,4.48917,4.98625,1.83458,1.07333,0.5,0.5,1.04292,3.34792,3.10333,3.10917,4.15625,3.53083,3.0225,2.36333,2.4675,3.31958,6.49333,5.91042,5.5875,3.80125,4.68958,5.19417
Harrisburg,40.2752,-76.8843,0.1275,2.45417,2.815,2.40375,2.88708,1.69417,3.30917,5.49,6.02333,11.51417,13.36542,10.60208,13.01625,12.355,11.05333,11.65875,5.72667,2.3225,5.39958,9.90042,5.09958,3.40917,1.605,0.98125,3.1475,8.38417,8.0225,3.04667,4.24292,10.2425,10.5325,9.70125
LittleRock,34.7256,-92.3576,0.3175,5.11625,2.84583,2.35125,5.665,3.89625,4.29083,7.2425,7.83667,9.90875,4.04667,3.19833,2.56583,2.03625,3.06667,5.6425,6.42375,4.84833,3.91,2.78125,3.27875,2.32,1.35333,4.87417,9.73083,7.34583,3.47083,4.42875,6.26042,8.04333,3.9325,1.31083
Oakland,37.7903,-122.2165,0.29375,4.295,4.30625,7.79042,11.24083,9.345,4.98,4.2825,5.27375,5.18792,2.67833,2.45583,2.35167,1.32292,2.65042,5.26708,3.89125,4.3125,3.2425,5.68583,3.39208,5.21958,5.67292,7.87042,8.41792,7.77458,2.91875,3.1575,3.8775,4.385,4.99,2.90958
Durham,35.9794,-78.9031,0.1525,2.19417,3.22833,5.00875,5.54625,3.88083,2.525,5.12542,5.64917,7.52292,10.21375,7.33167,5.06,5.39917,5.39542,6.95875,9.19375,9.19792,10.23625,13.44333,5.44167,5.24292,3.20167,1.43125,5.13625,5.73833,3.60458,1.74708,2.06333,5.08875,4.26917,4.86292
Winston-Salem,36.1029,-80.2611,0.08167,1.86958,2.62625,3.9475,5.26375,2.24375,2.47542,4.8475,4.55375,8.62958,12.90375,7.46208,7.60708,6.905,8.39625,8.78208,9.49875,7.55167,13.3025,13.43167,4.35958,6.47208,1.47208,1.12708,6.95417,6.42833,3.5025,1.905,2.59208,5.16417,3.69458,3.05542
BonitaSprings,26.3559,-81.7861,0.08917,5.26833,4.46125,4.94208,4.03167,5.91708,5.58667,3.30958,3.80042,3.61792,3.47625,3.03417,3.06167,3.67792,3.98792,2.88667,3.59458,3.505,4.15167,6.87542,8.19542,8.50917,6.20167,4.12625,14.92125,5.47958,2.70042,1.85083,3.71833,3.97417,5.09917,6.16625
Indio,33.7346,-116.2346,0.29917,7.07125,13.53625,12.75667,14.78667,12.17208,26.35417,17.80792,6.53917,1.49625,6.63,15.36625,24.68625,3.16708,3.97792,2.24042,7.06167,7.4325,12.04958,4.6525,6.09167,13.24583,10.67667,10.63375,12.3075,6.48167,11.70958,13.87875,10.25167,6.95542,4.865,3.06667
PalmCoast,29.5392,-81.2460,0.09625,3.43167,5.305,6.43042,6.11375,9.99458,3.26125,4.34,4.08958,3.46583,3.00042,2.23167,2.83958,3.80667,5.45042,2.39542,2.28292,2.80167,4.75333,6.75708,7.01667,6.28,6.35292,6.19542,5.20375,4.28125,2.38,2.58542,5.23667,5.63292,7.32333,6.14125
Chattanooga,35.0657,-85.2488,0.15375,4.50417,4.43875,3.75,4.10083,2.73625,3.32583,5.18542,9.99875,11.78083,9.25917,5.1875,5.105,2.38125,5.23167,9.88,10.715,12.78708,16.62833,10.0175,4.0025,3.285,1.99542,2.48958,8.14667,6.98583,8.00958,5.29,4.27,7.01625,6.69875,1.5175
Spokane,47.6671,-117.4330,0.02083,0.5,1.01083,1.62292,2.10917,3.06792,3.74625,3.15708,3.97417,3.21375,3.18833,0.53833,1.35917,0.81083,0.51917,0.78792,2.53333,0.60458,0.5,1.16667,1.11375,0.69667,1.9825,3.455,2.07167,2.46292,2.90542,2.84292,1.44542,0.75708,0.65458,0.60292
Syracuse,43.0409,-76.1438,0.09083,2.71917,1.94375,3.28167,2.2875,1.10333,2.065,4.38417,6.31042,6.145,3.76833,9.27667,13.76708,10.76625,16.79125,11.15333,5.87917,3.76125,4.93875,8.99208,1.76833,1.34042,1.39625,1.4275,3.75125,8.38792,10.27083,4.10417,4.75708,8.27833,13.77333,8.15958
Lancaster,40.0421,-76.3012,0.15,2.78708,2.89625,2.865,3.00208,1.63958,3.32083,5.67667,7.59792,10.99625,10.19458,9.94125,13.01208,12.60583,9.13208,10.87875,5.85167,2.13042,4.75,10.57875,6.00792,3.23708,1.36542,1.16583,3.06417,8.50083,7.865,3.1525,3.18792,10.58625,12.02083,8.84875
Arlington,32.6998,-97.1250,0.59375,5.14917,4.46917,3.02958,3.04792,5.05333,6.9825,6.07792,7.36708,5.26958,4.75667,2.64833,1.68417,3.41167,2.66375,3.01667,4.80917,2.81875,1.41458,2.66083,3.77458,5.66875,6.09417,5.04042,6.94167,5.97708,5.465,5.57208,7.98125,6.83125,2.93583,4.09542
Stockton,37.9765,-121.3109,0.11125,1.04292,1.01,1.68917,4.42458,7.285,5.95625,5.1975,4.61292,6.355,3.59167,2.7125,3.19917,0.87,0.9575,3.70083,4.1275,4.08083,2.62708,5.09417,4.09375,4.18333,5.12125,8.10083,8.22667,7.75208,5.61375,4.39875,3.51667,4.23,5.06542,3.30792
Poughkeepsie,41.6949,-73.9210,0.45833,4.87458,2.61875,1.7275,1.93083,1.26875,3.10167,3.5925,3.6925,3.89042,6.84042,8.16708,10.35792,23.5,12.245,9.91042,3.66292,3.40167,5.43125,11.86125,3.57625,1.73,0.84125,0.935,2.045,6.46292,11.29,10.15458,3.50042,6.65375,13.02167,10.38333
Augusta,33.3645,-82.0708,0.06417,3.64083,4.92875,4.59667,3.17,4.2075,4.04625,6.54333,7.84583,7.46875,7.295,5.08875,3.44875,3.35792,5.33333,6.63292,7.80667,10.58667,8.87958,6.63625,7.07917,4.99667,2.68,1.84167,3.63292,4.97458,3.60375,2.12958,3.245,5.53417,4.54083,4.32458
Boise,43.6007,-116.2312,0.02083,0.6275,0.7975,0.675,1.50792,2.40375,3.3675,3.03167,2.76167,1.90083,3.00167,1.48375,0.60958,0.50833,0.61708,0.9825,1.105,0.7275,1.17125,1.45625,1.39458,0.88167,1.33,1.40833,1.76167,2.16833,2.23208,2.42083,2.92833,1.75583,1.32125,0.865
Oxnard,34.1963,-119.1815,0.22417,6.68292,7.93083,6.35167,5.54667,5.84625,4.7375,3.52917,2.78625,3.415,3.06583,4.995,6.81917,3.85125,2.85917,3.94458,5.55083,6.86458,14.86167,8.41125,6.29792,7.50375,6.15875,8.17958,7.83875,9.43792,8.80042,5.10125,6.7125,4.06708,5.11917,5.87917
Scranton,41.4044,-75.6649,0.13458,1.9825,2.36417,1.67792,1.34667,0.9925,2.10375,3.60167,4.00667,7.14542,7.38292,8.47583,9.83708,10.2675,9.44917,11.01875,4.89,3.71833,5.40042,11.5,4.74792,1.87917,0.87875,0.69708,2.71458,7.98667,10.29917,3.68042,2.97333,8.48875,13.62375,9.87667
Modesto,37.6374,-121.0028,0.23458,1.61292,1.77333,2.55125,5.58625,8.19292,9.175,8.68792,7.0425,8.56458,8.56292,4.24042,4.01833,1.96792,1.66417,4.86458,5.94375,4.72667,2.36833,5.33667,5.11458,4.965,7.72667,9.20792,8.64083,9.96042,12.05583,7.87708,4.55375,6.87,7.53625,3.81333
Kissimmee,28.3042,-81.4164,0.39917,6.51292,5.66333,4.8225,4.56583,7.90125,4.97625,4.7075,4.42333,3.89167,3.69875,2.3175,2.43875,3.17875,4.96792,3.02458,2.61292,3.14583,4.35042,6.19042,5.79958,7.68375,6.46333,4.74125,5.57208,3.95042,1.715,2.34583,4.28417,3.87542,5.60458,5.62042
Aurora,39.7087,-104.7273,0.20667,3.55375,0.92458,0.84625,2.04125,9.56417,6.38167,7.29667,3.12667,3.18625,2.82042,4.08917,8.07708,5.16167,3.96208,3.78667,2.80833,6.26625,5.90083,6.02417,5.87333,5.81083,3.18125,1.17417,1.82125,6.15167,4.80208,7.20958,8.16167,10.99875,3.82292,7.61583
Youngstown,41.0993,-80.6463,0.24167,2.57333,3.00958,3.655,3.95917,1.82583,2.835,7.84208,7.04708,9.73792,22.04417,19.82458,16.27083,14.78292,9.17375,9.04917,8.39083,8.77417,13.9975,11.52375,2.98333,3.04583,0.85167,2.15375,8.14792,12.9,16.87583,5.79542,8.02417,11.75,8.585,6.81833
Fayetteville,36.0713,-94.1660,0.0875,5.17417,3.43917,1.26667,3.13292,3.39542,2.40792,4.15583,6.51625,7.76417,1.425,1.16,1.28833,0.86667,1.79375,3.505,6.11,4.15625,2.87167,3.46375,4.27292,3.17917,1.66792,2.75042,6.79667,6.17833,4.17792,4.60625,5.74833,4.70542,1.18042,1.06792
Anaheim,33.839,-117.8572,0.22125,5.53958,6.53042,5.78542,10.64167,18.77458,13.87,15.245,2.90125,2.82125,6.08375,9.26167,8.90167,4.315,5.06333,4.35583,8.38292,18.12708,10.935,7.83,6.70708,8.22958,5.74792,7.73833,8.75583,12.99917,18.24625,7.41042,7.17333,4.25083,2.92125,4.34875
Pensacola,30.4427,-87.1886,0.23875,3.77458,5.215,8.27625,11.65542,5.22333,4.09875,7.82,6.72458,5.06375,6.39708,4.53958,2.59083,3.315,5.20208,5.05792,4.23333,5.04083,5.27625,5.8375,5.80792,4.88875,4.19542,6.31542,7.70917,8.11333,8.64208,11.0625,8.80208,5.01833,5.425,5.98125
Victorville,34.5277,-117.3536,0.42542,5.85375,8.36792,8.02083,11.7725,18.41167,18.03,17.38875,9.49083,4.91833,6.32208,8.67083,12.67208,11.66583,4.66958,3.60625,3.44375,5.27375,10.72125,13.92292,11.96208,13.04792,12.865,11.415,13.69333,20.24667,12.38458,12.6625,11.07958,9.56875,9.63583,8.05667
Lancaster,34.6935,-118.1753,0.26208,5.70917,7.05417,11.62875,9.67542,11.34042,10.36333,11.29958,6.73458,2.88583,5.01042,4.93042,7.33375,4.06167,1.34583,4.07042,3.74,4.52042,7.3825,11.45,14.86625,9.90958,12.35667,10.12208,15.53583,12.61208,11.91167,13.01792,12.57917,10.22917,8.15917,8.64042
Greensboro,36.0956,-79.8269,0.1075,2.09208,2.6225,5.28083,5.37042,3.855,2.87958,8.325,9.14042,6.85917,11.35208,7.92,4.9825,4.47708,7.00583,7.88125,9.2125,8.22708,11.97542,14.28458,5.43125,5.62042,2.12292,1.54,7.27417,5.67042,3.18167,1.71667,2.85083,4.94083,3.77917,2.72708
CorpusChristi,27.726,-97.3755,0.46042,8.49792,10.98042,11.5625,11.58125,3.40542,5.47917,6.30667,6.22375,5.8725,9.39417,10.32,4.24208,3.38042,3.52875,3.83083,3.35417,5.86792,7.6,8.08,9.525,8.49042,5.9325,3.70583,5.92292,6.60583,5.7275,12.00292,2.31958,3.46208,4.15958,7.87042
FortWayne,41.0886,-85.1437,0.02083,1.24667,1.41958,3.27542,0.83542,1.44083,3.45458,7.63,7.97208,9.32375,9.74208,10.35917,8.09083,7.25833,8.4525,8.50333,6.44208,5.65458,7.04917,3.84708,5.39375,2.83458,2.73292,5.79,7.24542,9.43708,9.09417,9.01,11.27583,11.83292,6.63708,3.36958
SantaAna,33.7366,-117.8819,0.22125,5.53958,6.53042,5.78542,10.64167,18.77458,13.87,15.245,2.90125,2.82125,6.08375,9.26167,8.90167,4.315,5.06333,4.35583,8.38292,18.12708,10.935,7.83,6.70708,8.22958,5.74792,7.73833,8.75583,12.99917,18.24625,7.41042,7.17333,4.25083,2.68792,3.61875
Flint,43.0235,-83.6922,0.13333,0.85792,3.27458,2.69458,0.69208,1.86,5.19917,6.45333,6.55292,9.4125,14.48583,20.60833,15.06667,14.78417,9.54,8.76875,6.13125,3.19083,8.01042,2.5325,0.815,0.62958,0.7225,3.32917,8.16542,9.45042,15.5475,11.69875,10.60958,9.50292,6.44583,2.50583
Fayetteville,35.0846,-78.9776,0.1075,2.48125,4.26167,5.02583,6.30625,3.86417,3.65333,5.40042,6.02417,6.88125,7.41542,4.07583,2.86375,4.3675,4.18292,5.22458,8.46583,8.8525,13.90292,9.00083,8.28292,7.10625,6.25417,1.21833,2.59625,4.59,2.86333,2.08208,1.60333,5.80542,5.94542,6.94042
Jackson,32.3163,-90.2124,0.19792,5.06667,6.64875,3.2325,4.04542,3.87792,4.04708,4.52583,6.76083,6.70417,5.63417,5.17125,2.52167,1.74583,2.86333,5.38792,4.935,8.15917,3.15958,5.51375,4.07375,2.53708,2.81375,5.26583,7.29167,9.07292,3.21875,4.9475,5.50708,5.95792,2.11292,3.655
SantaRosa,38.4458,-122.7067,0.06542,1.30083,0.855,1.73958,5.00583,6.35167,3.38417,3.29583,4.60375,4.545,2.22708,0.77375,1.14125,0.65375,1.12875,2.79792,2.68833,1.70875,1.01542,3.00083,1.27875,2.95208,4.28792,5.21917,6.32,4.97833,3.21083,1.4525,1.3125,1.8175,2.63708,1.35292
Lansing,42.7142,-84.5601,0.02458,0.65542,3.00875,1.30792,0.57458,1.43167,3.65167,6.7925,7.65958,9.2525,13.285,10.23042,12.27583,6.92167,6.49042,9.43292,6.38375,2.87,5.57583,2.59833,0.95708,0.6525,0.94375,4.53958,8.09,9.0325,9.09167,10.43125,9.4875,8.58875,5.47167,2.44208
SanJuan,18.4037,-66.0636,0.15458,3.89,4.30833,4.98375,4.52958,3.165,5.05083,4.99167,5.40833,4.27833,4.39667,4.13917,5.52083,5.92833,5.29542,4.36875,5.04083,5.3925,3.73875,3.21833,4.5025,6.02375,4.14667,4.21958,4.4125,4.53,4.54208,4.23625,4.8775,4.67708,4.7775,3.51375
Lexington,38.0423,-84.4587,0.19,2.54167,3.65542,3.78958,6.20417,1.53917,2.90833,4.31958,6.44167,7.46083,9.37,8.45583,6.46875,4.22417,4.49458,7.60833,11.795,14.82583,14.98625,7.17208,6.47708,4.05833,1.93625,3.04458,5.94792,9.09167,8.48125,3.65042,17.48708,11.14417,4.00792,2.7025
AnnArbor,42.2755,-83.7312,0.0475,0.9075,2.06583,2.59167,0.73958,2.57833,3.65875,4.1325,6.12708,10.67583,16.1325,21.10917,13.95667,11.67125,9.04042,8.37875,6.27667,6.41792,6.26792,3.27208,1.87583,1.26125,1.25083,4.34625,6.83583,9.2625,13.28458,8.40542,10.72042,9.97208,6.86958,2.58125
Henderson,36.0133,-115.0380,0.33708,7.39417,3.89625,5.18625,3.46292,5.96125,6.81292,10.59417,10.92458,7.25542,5.87333,4.14458,12.81,12.87167,7.67208,3.37625,3.4975,4.92458,6.86375,4.24333,8.57458,7.37083,9.12375,10.78875,8.11917,9.97083,10.81083,10.54458,10.03792,11.05083,11.06458,9.29583
Huntsville,34.6988,-86.6412,0.16292,3.08375,5.53083,3.96125,4.15667,3.21833,3.04208,4.03833,7.18208,6.89583,6.83958,3.99625,3.73458,2.91542,5.57792,8.65875,9.79375,11.17833,10.27625,4.86083,2.73958,3.4475,2.30875,3.02417,5.14333,8.31792,6.77333,4.0275,3.82542,8.05167,3.62333,1.16083
Mobile,30.6783,-88.1162,0.35042,4.78292,6.38,9.72417,11.84375,5.62958,4.24792,7.5375,6.71667,6.23625,6.22917,6.01792,2.87708,3.21708,4.74917,5.9325,4.65542,5.22042,6.06875,5.68667,5.69042,4.72542,2.82167,5.43958,6.93208,8.78375,6.975,5.53125,5.10375,5.025,4.47583,8.20458
