dim,lr,batch,epochs
1,0.01,64,10
2,0.0001,256,50
3,0.001,64,50
4,0.0001,32,50
5,0.0001,32,100
6,0.01,32,10
7,0.0001,32,150
8,0.0001,64,150
9,0.0001,32,150
10,0.0001,64,100
20,0.01,64,50
30,0.01,128,75
40,0.01,256,100
50,0.01,64,75
60,0.001,32,150
70,0.001,64,150
80,0.001,32,150
90,0.01,64,100
100,0.01,64,150
110,0.01,32,75
120,0.001,64,100

