fold,dim,variance,r2,lr,batch,epochs
1,1,0.19170911896314957,0.19170911896314957,0.0001,256,150
1,2,0.20843485273088358,0.20843485273088358,0.0001,64,50
1,3,0.325021064422929,0.325021064422929,0.0001,128,150
1,4,0.377283785987791,0.377283785987791,0.001,128,75
1,5,0.39286125268794647,0.39286125268794647,0.001,256,75
2,1,0.3198397892646715,0.3198397892646715,0.0001,64,50
2,2,0.3199617342478398,0.3199617342478398,0.0001,128,100
2,3,0.47228227454592697,0.47228227454592697,0.001,256,75
2,4,0.48181615929737265,0.48181615929737265,0.0001,64,150
2,5,0.5136329727954996,0.5136329727954996,0.001,128,75
3,1,0.20148412274359861,0.20148412274359861,0.01,32,100
3,2,0.30053107922938926,0.30053107922938926,0.001,64,10
3,3,0.38193963510686757,0.38193963510686757,0.0001,32,100
3,4,0.4373558186082279,0.4373558186082279,0.0001,32,150
3,5,0.47249599458664904,0.47249599458664904,0.001,64,50
4,1,0.19308757761765127,0.19308757761765127,0.01,256,10
4,2,0.24804890268454027,0.24804890268454027,0.1,128,10
4,3,0.36834839135716,0.36834839135716,0.0001,32,75
4,4,0.38880438540107054,0.38880438540107054,0.0001,32,150
4,5,0.4154824311177454,0.4154824311177454,0.001,256,150
5,1,0.18220399956530586,0.18220399956530586,0.01,64,150
5,2,0.25754445564179507,0.25754445564179507,0.0001,128,75
5,3,0.3760930893736204,0.3760930893736204,0.0001,32,100
5,4,0.3786076962149094,0.3786076962149094,0.001,256,100
5,5,0.4020704018972884,0.4020704018972884,0.001,256,150
