city,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
Nauvoo,-0.020972736,0.003565389,-0.016573934,0.0027064239,-0.0010005529,0.015137071,0.007224816,0.012820143,0.01663094,0.008789514
Braman,-0.0037683942,-0.0057724174,0.0146954125,-0.007619243,0.022739097,0.013672881,0.0054525477,0.015110079,0.0017146859,0.015289703
Industry,0.045016497,-0.052551445,-0.086969584,-0.025902295,0.049508743,-0.09600606,0.044943854,0.030821668,0.13584091,-0.00060773257
HaywoodCity,0.0005005038,-0.0005055246,-0.0024737886,0.014432247,0.017187346,0.0076176976,-0.0075222366,0.021875659,-0.003396971,0.022834174
BluewaterAcres,-0.030749014,-0.0005212304,0.021542672,-0.022520257,-0.011851468,-0.0008128059,-0.021625377,0.0097256005,-0.009221746,-0.014746736
YellowBluff,-0.024831364,-0.0033207522,-0.012388824,-0.007375787,0.00015557185,0.021659736,0.0036693893,0.009238778,0.003780101,0.013773774
EggHarbor,-0.025683913,-0.0038036127,0.015289991,0.010272691,0.002586865,-0.012157599,-0.046414584,-0.025993655,-0.04102338,-0.02705894
Tappen,-0.008342071,-0.03109719,0.01744373,-0.010462873,-0.008560272,-0.006282284,-0.017843757,0.016841393,0.008927502,-0.0026966007
Matoaka,-0.018568179,-0.0076696677,-0.0029402755,0.0016074185,-0.0013015355,0.020086747,0.019066645,0.0017794016,0.013233439,-0.016797919
Koliganek,-0.023990193,-0.014320153,0.032507762,-0.011990378,-0.014994354,-0.011128602,-0.018256782,0.005570116,-0.011888735,-0.008618003
Surrency,-0.029611606,-0.0037366282,-0.01425645,0.0042567067,-0.017163945,-0.0038703599,-0.005765217,0.013622315,-0.0071170307,0.00514645
TrailSide,0.0027125743,-0.016277276,-0.013083938,-0.028795244,0.0034394236,-0.0042580143,-0.017031943,0.029801328,-0.008095608,0.016561199
DeSmet,0.0077301194,-0.01575109,0.021479726,-0.020198707,-0.033912886,-0.003706993,-0.018682716,0.018084288,-0.0052974503,-0.022280041
PineVillage,0.025979267,-0.012381559,0.013496614,0.0296034,0.021525076,-0.0009651142,0.019311998,0.008848071,-0.012710217,0.019425688
Seaton,0.030958518,-0.022086024,0.008750829,0.021627925,0.034669876,-0.010308338,-0.0023479753,0.02254406,0.009747151,0.024701918
SanJon,-0.029547658,0.002529387,0.010984089,-0.018012552,-0.001910833,0.013709581,-0.0024377978,0.0011001298,-0.016561773,0.008027131
St.Johns,-0.00094539823,-0.004099572,0.017421976,0.0336605,0.018413456,-0.007036692,0.018047156,1.50175765e-05,-0.0069657736,-0.006781164
Garland,0.004875217,-0.011615456,0.012322058,-0.015412329,-0.008744436,0.011740259,0.006883224,0.018279085,0.01602896,-0.011139758
Highwood,-0.0065768575,-0.016341718,0.026707433,-0.005345528,-0.025831193,0.006737372,0.0038859078,0.0018931194,0.0019151133,-0.008411692
WhiteMountain,-0.023900427,-0.013030788,0.03205627,-0.016892033,-0.016581133,-0.004596551,-0.02047128,0.0022685197,-0.017844535,-0.007919242
Barnett,0.007965579,-0.013291675,0.01094026,-0.0083085615,0.011815857,0.006603625,0.005219295,0.019077204,0.009648805,0.006130771
