city,dim_1,dim_2,dim_3
MillShoals,0.0054516993,0.019952403,0.030354898
Broaddus,-0.020665526,0.03167763,0.014546713
FishingCreek,0.014611824,0.009408963,-0.016981889
Vaughnsville,0.03412764,0.030134773,0.005463866
CoffeeCreek,-0.030853106,0.016268611,0.017842589
O'Kean,0.0024483097,0.028104095,0.029856
Altona,0.032400124,0.028834775,0.0012091969
Harrells,-0.0051909233,0.015885795,0.011806471
GardenGrove,0.016803997,0.006249368,0.029754741
Lilly,-0.02047781,0.03768541,0.015539178
Scotia,-0.016728321,0.033865437,0.01839851
Blencoe,0.030942235,0.015222348,0.037683006
Providence,-0.015090164,0.024191588,0.019025357
GlenJean,0.00036434084,0.01634829,0.008653937
BearValley,-0.023411632,0.012849436,0.01180544
MeireGrove,0.018602766,0.004284564,0.042626135
SugarMountain,-0.011399542,0.026310261,0.0072221984
Tyro,-0.0038176419,0.017637515,0.022852797
PecanGap,-0.020558307,0.007982531,0.007933803
PineGlen,0.0018719598,0.00851764,-0.02155565
Raemon,-0.006497984,0.016938243,0.005006083
SummitStation,-0.002082043,0.0037710334,-0.07310374
NewtonHamilton,0.0028768175,0.003905716,-0.020889683
MountCory,0.0319514,0.02867535,0.0045411587
Spillertown,0.0007458774,0.013176519,0.028496535
Eureka,0.000730166,0.014715918,0.0010151821
Trumbull,0.008721324,0.027427433,0.037942037
RadarBase,-0.02702372,0.033342477,0.010346635
Volga,0.031950593,0.006304671,0.029434245
Zanesfield,0.018185277,0.023795618,0.0064519895
Plessis,-0.0077159056,0.016754964,-0.012509864
Sugartown,-0.02362343,0.03666461,0.016702842
Edwardsville,-0.016032545,0.024455398,0.010560291
Baylis,0.012472935,0.013365664,0.029186076
GlenviewManor,0.021233438,0.014031217,0.035363052
Hancock,0.026097685,0.00580571,0.03693248
Peck,-0.03431246,0.007819485,0.022353716
Marklesburg,0.011942398,0.010039036,-0.02443195
Donnellson,0.0043783183,0.013021231,0.024690783
Burket,0.027762474,0.022106033,0.008667218
Shumway,0.014361378,0.021071613,0.027498918
Okabena,0.02221082,0.023664197,0.034392554
EdgarSprings,-0.006483624,0.010640032,0.024012925
NeckCity,-0.011187664,0.009836817,0.023314867
Hendersonville,0.039038632,0.021619257,-0.024810897
CerroGordo,-0.009616845,0.019240513,0.014228333
Cokesbury,-0.0053734444,0.013755317,0.012631824
Norwood,-0.012551077,0.03660393,-0.011859803
Scraper,-0.01362418,0.012764057,0.017368903
Winifred,-0.019936297,0.0376358,0.009623937
Munich,-0.010990078,0.02624774,0.028557027
Newtonia,-0.013010431,0.014758341,0.019902807
Epworth,-0.013805638,0.022391783,0.015191507
Jonesville,0.012892614,0.024053967,0.025652438
Woodburn,0.01970937,0.0038289013,0.032220926
Rembrandt,0.0294626,0.018133976,0.036145963
OpdykeWest,-0.028476927,0.035199255,0.01054329
Ruthville,-0.015225475,0.030649392,0.027263952
Rosewood,0.019116195,0.024989828,0.0070627932
Holbrook,0.0020572958,0.034817923,0.032979585
PortWing,-0.0030815408,0.022159826,0.011117226
Woodside,0.0113194315,0.009285472,-0.030525144
Poneto,0.025377357,0.02825361,0.009636446
Munjor,-0.016371025,0.02854213,0.02305675
MissionWoods,0.006123051,-0.017135963,0.04246106
Hortonville,-0.019124508,0.012761153,-0.033330157
Hollis,-0.02776983,0.043331,0.008656687
Lincolnville,-0.012230666,0.022635024,0.023898602
SouthHaven,0.041376762,0.0010008509,0.04943608
Tipton,-0.010532246,0.025679078,0.027844643
Homer,0.027807925,0.0034947179,0.026535518
Lowrys,-0.0038487902,0.0040980196,0.005792791
Yolo,-0.043208938,-0.08796774,-0.0072318166
Inger,0.0025922183,0.011655599,0.021340294
TontoVillage,-0.033640463,0.043675266,0.009262422
Mellott,0.027731339,0.025660945,0.022823777
Okahumpka,-0.02481028,0.02945924,-0.005295908
Onslow,0.047576856,0.002610752,0.032583784
Gilbertown,-0.014912848,0.02490464,0.019748809
BeecherFalls,-0.024444522,0.016935369,-0.0064210966
Copemish,0.0012019251,0.022894857,-0.0076903277
Union,-0.036559325,-0.0026779107,-0.040612083
UnionCenter,0.02780868,0.010507672,0.01695084
PatchGrove,0.028534329,0.0053271963,0.024801789
Enville,-0.00094590674,0.017003996,0.025285082
Pittsboro,-0.009243774,0.017187867,0.024316544
Leota,0.021489523,0.022929104,0.03411956
FortBidwell,-0.025710503,0.01983336,0.0095792
Harpster,0.032496948,0.02806614,0.0026371584
Callensburg,0.012961313,0.009430739,-0.018387709
Beason,0.018779473,0.018843884,0.03271012
Queets,-0.03570676,0.04258729,0.011446895
Winterhaven,-0.022617768,0.029569007,0.014375749
Reader,-0.007324054,0.016170448,0.021152096
WoodyCreek,-0.036296356,0.021269575,0.005694763
Newry,-0.003577668,0.010807198,0.0074364324
Pickrell,0.0062892,0.021112103,0.0316257
Tomales,-0.053426635,-0.02767253,0.0070502474
Moscow,0.007813588,0.014332809,0.026104411
Sheyenne,-0.012193085,0.025771895,0.030799637
DunnCenter,-0.021428691,0.035881273,0.026083762
Garey,-0.032783255,-0.01826034,0.0019928468
Breedsville,0.016604925,0.018023713,-8.487329e-05
IronHorse,-0.043607194,-0.018753495,0.004408083
IronPost,-0.015781084,0.0072224815,0.016667966
Wimbledon,-0.009568573,0.025810339,0.032789093
Forada,0.012865593,0.008742474,0.038420796
Laredo,0.0074045234,0.005916928,0.022752145
Eunola,-0.020764643,0.037901063,0.015135515
Sunset,-0.0020864182,0.025342042,0.039734934
Drakesville,0.021479374,0.0017280857,0.033376727
Exeland,0.01247767,0.0112672,0.012312928
LittleYork,0.012652244,0.023703683,0.021758115
Steptoe,-0.036713317,0.016599603,0.02388931
LongCreek,-0.039891347,0.01816618,0.013151047
Starr,0.00051480526,0.013470147,0.016360754
AmadorCity,-0.029223233,0.0076306015,0.008085238
Bremen,0.0045690085,0.012368494,0.029980024
WestLeipsic,0.036480702,0.029679269,0.0019774167
Morganville,-0.009510786,0.02227348,0.029289186
Buford,0.011193545,0.017437588,0.021304343
Radnor,0.029784827,0.026618276,-0.002598885
FortApache,-0.0316856,0.03719768,0.0057091834
BigBay,-0.017371893,0.039352193,-0.0027595498
Wawona,-0.026342323,0.046754602,0.011060493
Hughesville,-0.0069088065,0.0071477485,0.026926374
Bolckow,0.0067867786,0.01468304,0.02989966
Beattie,-0.0043011056,0.023599226,0.026221888
Atmautluak,-0.02747599,0.04159868,0.008362865
Mooreton,0.0019018083,0.01779877,0.038196173
Greenway,-0.0016677045,0.026228435,0.029579941
Herron,-0.023720358,0.035792105,0.024933869
Register,-0.014798758,0.035926174,0.0143353455
Brave,0.02568022,0.011430234,0.00010722317
Tiawah,-0.016137555,-0.001003548,0.017040016
Kalihiwai,-0.032449357,0.048366208,0.009197664
EastWaterford,0.0053420365,0.0034983756,-0.024775201
Tedrow,0.037630897,0.033804514,-0.0044799475
StudyButte,-0.034206662,0.051089898,0.013286985
Prairieburg,0.047302138,0.0018853224,0.035846546
Grenola,-0.009965779,0.023023626,0.020682896
Elberon,0.04657343,0.0030613816,0.040495355
Hustler,0.03046016,0.00857353,0.017878244
Onaway,-0.031855937,0.018671395,0.017328205
Golden,-0.009905881,0.017939951,0.019993108
LakeTomahawk,0.006782251,0.019521728,0.00605981
Northome,-0.0004429723,0.01149953,0.020739347
Heckscherville,0.0016171618,0.008112304,-0.053313587
WestElkton,0.026811553,0.02806881,0.009080554
Lopeño,-0.03728963,0.05875663,0.00409969
Lequire,-0.013635367,0.013937867,0.015683828
