city,state,country,dim_1,dim_2,dim_3,dim_4
Torreon,NM,US,-0.044134993,-0.0075505837,0.022065625,0.0058079227
Blairsburg,IA,US,-0.01626857,-0.026582208,-0.0117902085,-0.024220599
Barkeyville,PA,US,0.014560449,0.043039784,0.019237904,-0.047708314
Parkersburg,IL,US,0.030861957,-0.023748275,0.006821355,-0.03304203
Hallwood,VA,US,0.009622449,0.031382572,-0.013082776,0.0014439586
Westcreek,CO,US,-0.046087876,-0.014978413,0.017905947,0.0010343561
Amasa,MI,US,-0.024231588,0.007286516,0.0151111,-0.022012278
Jacksonport,AR,US,0.025337704,-0.044200305,0.020407923,0.011651137
Lyden,NM,US,-0.043509208,-0.007710327,0.023972878,0.0047635776
Phillipsburg,MO,US,-0.0016091185,-0.040154904,0.048228502,-0.019337108
Macy,IN,US,0.013908989,-0.00057686475,-0.0049937954,-0.035071813
Lewellen,NE,US,-0.038528867,-0.02932665,0.026235787,-0.0065796794
Autryville,NC,US,0.046118286,0.00996839,-0.009919535,0.011162462
Belspring,VA,US,0.034324884,0.009119961,0.043808393,-0.026482204
Butters,NC,US,0.04180345,0.007442915,-0.0077683106,0.016800018
BlodgettMills,NY,US,-0.013811198,0.04199297,0.025816662,-0.017262941
Edenborn,PA,US,0.03455963,0.022499688,0.030834148,-0.040081054
HancocksBridge,NJ,US,0.016048793,0.07703232,-0.033118784,-0.008425162
Grayling,AK,US,-0.037838027,-0.0003684722,0.04083087,-0.0086980425
Kellyton,AL,US,0.044614907,-0.0039881514,0.029515572,0.054797355
Independence,UT,US,-0.027596625,-0.009992058,0.024168847,0.005815484
Peterson,MN,US,-0.022990257,-0.013626659,-0.008554373,-0.03019588
Thompsonville,TX,US,-0.024363514,-0.008795491,0.086665995,0.03007686
Fordville,ND,US,-0.025400452,-0.018397471,-0.011621819,-0.010470405
Goodlow,TX,US,-0.0064535365,-0.028384104,0.07137035,0.03157591
SilverCreek,MS,US,0.026097799,0.00094402075,0.045001384,0.052093804
Jeff,KY,US,0.041002993,-0.0031547572,0.03902346,-0.005792236
Westgate,IA,US,-0.011381288,-0.01979814,-0.012019959,-0.027548453
Aucilla,FL,US,0.025149241,0.014360483,0.0054833074,0.05512144
Batchtown,IL,US,0.022144437,-0.044807207,0.003916938,-0.036911722
Cañon,NM,US,-0.039263736,-0.0066182073,0.014119747,0.005995499
Ellsworth,IL,US,0.012692725,-0.019369302,-0.0022980676,-0.037973132
Loachapoka,AL,US,0.051759005,-0.0023923523,0.012921594,0.059640113
Bienville,LA,US,0.008745246,-0.018079692,0.06195126,0.051269375
NorthRobinson,OH,US,0.027776249,0.0081631,0.0015455433,-0.04637428
Ewing,VA,US,0.03847014,-0.0017208885,0.03838971,0.0013791947
Taylorsville,CA,US,-0.037360847,0.004379395,0.008954914,0.00026918203
BayCenter,WA,US,-0.04064078,-0.0058539063,0.0020688854,0.0023171932
Petrolia,PA,US,0.016771076,0.045901477,0.02571135,-0.052491497
Trenton,SC,US,0.05090874,-0.005067345,-0.011038222,0.034494918
NewEdinburg,AR,US,0.014085085,-0.033148676,0.04480442,0.03206292
PaintRock,AL,US,0.049657706,-0.0053751674,0.031074671,0.03689618
Pittsburg,OK,US,-0.014449541,-0.03943116,0.060531586,0.0028537468
MillShoals,IL,US,0.032110866,-0.026934799,0.00660498,-0.030682264
Broaddus,TX,US,0.00502622,-0.012733518,0.08230085,0.054487184
FishingCreek,MD,US,0.01789594,0.047293626,-0.012052475,-0.001534077
Vaughnsville,OH,US,0.026793143,0.002606745,-0.0003692694,-0.042199235
CoffeeCreek,CA,US,-0.02912228,0.006754856,0.0067605306,0.0032225766
O'Kean,AR,US,0.02683458,-0.03729862,0.023396509,0.0037320375
Altona,IN,US,0.01628795,0.0026259022,-0.00060179626,-0.038307972
Harrells,NC,US,0.04255541,0.010648045,0.001753468,0.0074235466
GardenGrove,IA,US,-0.008344029,-0.03022032,0.0046732677,-0.03816637
Lilly,GA,US,0.04738969,-0.0011251173,-0.028232394,0.05994792
Scotia,SC,US,0.03564989,0.0014702888,-0.01701572,0.04566467
Blencoe,IA,US,-0.013848539,-0.030652426,-0.008113326,-0.027307637
Providence,AL,US,0.03830299,0.0005953422,0.03191833,0.04907289
GlenJean,WV,US,0.030971035,0.011013001,0.04012729,-0.016759105
BearValley,CA,US,-0.013909341,0.0058614234,-0.054181524,0.012166695
MeireGrove,MN,US,-0.017559575,-0.018606976,-0.014128291,-0.024172943
SugarMountain,NC,US,0.027009297,0.0026484255,0.046829414,0.0011924163
Tyro,KS,US,-0.0046428973,-0.053907983,0.025954392,-0.014638438
PecanGap,TX,US,-0.004743791,-0.03702649,0.05935605,0.015955467
PineGlen,PA,US,0.003987107,0.059392307,0.022584185,-0.039253797
Raemon,NC,US,0.04599315,0.002996314,-0.015097016,0.022538092
SummitStation,PA,US,0.002806576,0.07792637,0.013040324,-0.012522649
NewtonHamilton,PA,US,0.0056700497,0.06582572,0.031705715,-0.039248478
MountCory,OH,US,0.02328428,0.0064200074,-0.0009611022,-0.04043571
Spillertown,IL,US,0.03082476,-0.023600375,0.013086025,-0.024857115
Eureka,NC,US,0.04297502,0.019461863,-0.002528161,0.0032601724
Trumbull,NE,US,-0.027799308,-0.030379603,0.015210614,-0.02029465
RadarBase,TX,US,-0.031360663,-0.008131743,0.06421884,0.028992007
Volga,IA,US,-0.009734269,-0.021176286,-0.012934899,-0.027285831
Zanesfield,OH,US,0.03171896,0.007067483,0.005572902,-0.043387175
Plessis,NY,US,-0.010039976,0.031163035,-0.004138479,-0.020353211
Sugartown,LA,US,0.008806436,6.911531e-05,0.057295326,0.05693814
Edwardsville,AL,US,0.053715844,-0.011556959,0.024667375,0.047575116
Baylis,IL,US,0.009014794,-0.03289036,0.0033501592,-0.03467756
GlenviewManor,KY,US,0.055520628,-0.034167975,0.009594723,-0.047213554
Hancock,IA,US,-0.009119326,-0.02870469,-0.009287631,-0.032191433
Peck,ID,US,-0.03764171,-0.01998084,-0.007932765,-0.006003191
Marklesburg,PA,US,0.010281663,0.068326026,0.027300699,-0.044145405
Donnellson,IL,US,0.020643434,-0.023823995,-0.0015371782,-0.033758108
Burket,IN,US,0.012710263,0.0020372085,-0.006742464,-0.033805847
Shumway,IL,US,0.021854669,-0.021774197,0.0013254313,-0.034011323
Okabena,MN,US,-0.021488916,-0.019163374,-0.0021010137,-0.021791989
EdgarSprings,MO,US,0.003335737,-0.032187518,0.04873268,-0.024833947
NeckCity,MO,US,-0.003385946,-0.052023705,0.04357126,-0.015378294
Hendersonville,PA,US,0.044560052,0.03658234,0.020723063,-0.051260848
CerroGordo,NC,US,0.040618252,0.005826902,-0.008743581,0.019949641
Cokesbury,SC,US,0.06255617,-0.012334303,0.004506851,0.028025968
Norwood,MI,US,-0.02313889,0.011962142,0.010774328,-0.028825637
Scraper,OK,US,-0.009680645,-0.04016615,0.060062733,-0.0016424045
Winifred,MT,US,-0.03085179,-0.019782696,0.017534878,-0.002144959
Munich,ND,US,-0.026510904,-0.013286606,-0.006682378,-0.0042151143
Newtonia,MO,US,-0.0031051766,-0.050428275,0.055640362,-0.0066309636
Epworth,GA,US,0.043909784,-0.0013792748,0.03894076,0.028055241
Jonesville,IN,US,0.034905914,-0.02244791,0.017904222,-0.036941107
Woodburn,IA,US,-0.0066257394,-0.031744875,0.0016353133,-0.036493886
Rembrandt,IA,US,-0.018798195,-0.02190186,-0.005571147,-0.024717038
OpdykeWest,TX,US,-0.03897266,-0.02642032,0.036071677,0.0040191826
Ruthville,ND,US,-0.030895673,-0.019744819,-0.005931285,-0.0042723827
Rosewood,OH,US,0.031798273,0.003930865,0.008251504,-0.04348134
Holbrook,NE,US,-0.033913024,-0.031089507,0.01571979,-0.013347466
PortWing,WI,US,-0.026737666,-0.005015822,0.007291925,-0.029135043
Woodside,DE,US,0.005563088,0.06334689,-0.007315202,-0.0057887645
Poneto,IN,US,0.02154679,-0.0034479375,0.00044679444,-0.04086077
Munjor,KS,US,-0.03459547,-0.033151396,0.022657493,-0.010297608
MissionWoods,KS,US,0.006416246,-0.0461853,0.0003659483,-0.043280054
Hortonville,NY,US,-0.017908195,0.054442134,0.038820006,-0.013688263
Hollis,AK,US,-0.048833445,-0.011205337,0.03985069,-0.012382909
Lincolnville,KS,US,-0.013206349,-0.04153706,0.023908835,-0.017399482
SouthHaven,MN,US,-0.015427402,-0.018617444,-0.01764331,-0.029823273
Tipton,KS,US,-0.025651261,-0.041569658,0.016664186,-0.01368465
Homer,MN,US,-0.022073139,-0.014631747,-0.008467581,-0.037050463
Lowrys,SC,US,0.062095467,-0.0057607056,0.010059556,0.021937491
Yolo,CA,US,-0.0009634579,0.006434283,-0.102527015,0.0122766895
Inger,MN,US,-0.022812808,-0.007251016,0.0014362418,-0.023054235
TontoVillage,AZ,US,-0.03127098,0.00036632083,-0.005542049,0.006484093
Mellott,IN,US,0.021953814,-0.019778647,0.0012644726,-0.036937624
Okahumpka,FL,US,0.02013199,0.021641666,-0.00911966,0.038691856
Onslow,IA,US,-0.0011368868,-0.026167741,-0.014886893,-0.031455148
Gilbertown,AL,US,0.02238138,0.0072491565,0.051789336,0.04768986
BeecherFalls,VT,US,-0.027789967,0.01833263,0.019131707,-0.010122031
Copemish,MI,US,-0.0153958,0.0071245055,-0.007569715,-0.028068177
Union,NH,US,-0.028170047,0.041898433,0.010041968,-0.0038352937
UnionCenter,WI,US,-0.013593327,-0.009154308,-0.0123229325,-0.033095635
PatchGrove,WI,US,-0.011000741,-0.02113486,-0.01600444,-0.031509
Enville,TN,US,0.041316163,-0.034671236,0.038888466,0.023910709
Pittsboro,MS,US,0.033590566,-0.02615056,0.037257463,0.0349169
Leota,MN,US,-0.02010559,-0.017589306,-0.0040184464,-0.019604824
