o3_X_train_ax1,o3_X_train_ax2,o3_var,o3_r2
-0.011350878,-0.015457485,0.4024363294921284,0.4024363294921284
-0.016155856,-0.013588947,0.41441820813385954,0.41441820813385954
-0.023156133,-0.013605161,0.7186696224560121,0.7186696224560121
-0.02410464,-0.016053887,0.7330086961405167,0.7330086961405167
-0.018596228,-0.013219514,0.7365784089976495,0.7365784089976495
-0.018234888,-0.015445831,0.7400691110983572,0.7400691110983572
-0.022802874,-0.013153015,0.7458275148050831,0.7458275148050831
-0.015261125,-0.007908321,0.7758986408309694,0.7758986408309694
-0.01932431,-0.012085316,0.7818557025467461,0.7818557025467461
-0.018046863,-0.01007859,0.7838402217253302,0.7838402217253302
-0.025120044,-0.009428845,0.7862919995113119,0.7862919995113119
-0.030698063,-0.0069187786,0.7961107263982328,0.7961107263982328
-0.03021738,-0.01913841,0.8146884580388684,0.8146884580388684
-0.0240041,-0.016827768,0.806044098591316,0.806044098591316
-0.022028353,-0.008185521,0.8148182209898072,0.8148182209898072
-0.028814005,-0.009873836,0.832797111465662,0.832797111465662
-0.011736876,-0.0056594857,0.854537808107736,0.854537808107736
-0.021610461,-0.013255339,0.8533698059014314,0.8533698059014314
-0.016723791,-0.018894693,0.8536113019143323,0.8536113019143323
-0.025717521,-0.011449134,0.8566261444162988,0.8566261444162988
-0.02369862,-0.0140788825,0.8559194879693097,0.8559194879693097
-0.023821415,-0.011413525,0.8556986047505316,0.8556986047505316
-0.031296026,-0.007532356,0.8592271348537317,0.8592271348537317
-0.025401162,-0.010906886,0.8660349855430887,0.8660349855430887
-0.029993664,-0.011062669,0.8657260932338129,0.8657260932338129
-0.01636861,-0.004071129,0.8664118677245002,0.8664118677245002
-0.020998897,-0.016942643,0.8676141014725471,0.8676141014725471
-0.0110086985,-0.0067455047,0.869727054333262,0.869727054333262
-0.03158304,-0.012361165,0.8686137492030968,0.8686137492030968
-0.040448867,-0.020418301,0.8682013160537196,0.8682013160537196
-0.021525314,-0.012478013,0.8737968353125543,0.8737968353125543
-0.026892032,-0.012256155,0.8746914774525005,0.8746914774525005
-0.024402628,-0.007698611,0.8797365449503874,0.8797365449503874
-0.027930947,-0.013609015,0.8796842702069403,0.8796842702069403
-0.013748191,-0.015224888,0.8796507686117297,0.8796507686117297
-0.033447813,-0.008923712,0.8808657117363943,0.8808657117363943
-0.022011682,-0.01132711,0.8832796063412686,0.8832796063412686
-0.025670534,-0.01865437,0.8849905346993641,0.8849905346993641
-0.01612013,-0.01440584,0.8829430400087233,0.8829430400087233
-0.014444431,-0.009284187,0.8849067184588641,0.8849067184588641
-0.017625036,-0.0138445,0.8867424393949763,0.8867424393949763
-0.033160955,-0.013945656,0.8860988255726435,0.8860988255726435
-0.013572186,-0.017534819,0.8861288668092107,0.8861288668092107
-0.014123533,-0.013341383,0.8888066250393171,0.8888066250393171
-0.02522985,-0.016247317,0.8894063575824677,0.8894063575824677
-0.023629284,-0.011688144,0.8900630404839365,0.8900630404839365
-0.017946312,-0.01189352,0.8905491121950635,0.8905491121950635
-0.014662159,-0.013022792,0.8920895402816935,0.8920895402816935
-0.012189915,-0.016497424,0.8937600785205172,0.8937600785205172
-0.029887358,-0.013348927,0.8954148221986933,0.8954148221986933
-0.027122078,-0.011430277,0.8930655202879203,0.8930655202879203
-0.02281529,-0.014629755,0.8949708827523988,0.8949708827523988
-0.01720795,-0.01128293,0.8977974313737891,0.8977974313737891
-0.01963162,-0.01982136,0.8978895208131679,0.8978895208131679
-0.019005843,-0.003296279,0.8992381783917525,0.8992381783917525
-0.0223765,-0.013442571,0.8980036758689334,0.8980036758689334
-0.023976943,-0.009544777,0.898056049463559,0.898056049463559
-0.022986116,-0.015136926,0.8984167189320709,0.8984167189320709
-0.021375619,-0.005128466,0.8996589562021622,0.8996589562021622
-0.021098047,-0.020704914,0.89923028273124,0.89923028273124
-0.028272253,-0.0064687664,0.8997544570177392,0.8997544570177392
-0.018230988,-0.013743529,0.8993139964137133,0.8993139964137133
-0.023820255,-0.0062725456,0.8994161707849363,0.8994161707849363
-0.010423655,-0.007921071,0.8994927399424594,0.8994927399424594
-0.014619653,-0.01769476,0.8997125306851668,0.8997125306851668
-0.016769798,-0.0026810004,0.9015430607068811,0.9015430607068811
-0.02015789,-0.010252607,0.899382962812227,0.899382962812227
-0.02407706,-0.007547419,0.9012261409333369,0.9012261409333369
-0.01577311,-0.013875744,0.9003671347524695,0.9003671347524695
-0.022316653,-0.014945606,0.900931755418491,0.900931755418491
-0.02559258,-0.006595706,0.9028342342703841,0.9028342342703841
-0.023362236,-0.019156745,0.9056843329177826,0.9056843329177826
-0.012542368,-0.015317208,0.9012624283463049,0.9012624283463049
-0.013341026,-0.015663633,0.9049479403803851,0.9049479403803851
-0.032031357,-0.0148442695,0.9024782780342859,0.9024782780342859
-0.02391454,-0.013320987,0.9052538913339773,0.9052538913339773
-0.023946205,-0.009397971,0.9048856174511535,0.9048856174511535
-0.021784643,-0.01964489,0.904904040960725,0.904904040960725
-0.003269608,-0.013242011,0.9047895507722947,0.9047895507722947
-0.029610896,-0.013907537,0.9063451905241858,0.9063451905241858
-0.018330073,-0.013463355,0.9070933787778285,0.9070933787778285
-0.02499693,-0.01171414,0.906070733324045,0.906070733324045
-0.024610624,-0.01396385,0.9074242481653377,0.9074242481653377
-0.030642746,-0.01735537,0.9080204699930615,0.9080204699930615
-0.03510584,-0.008518198,0.9076543979716117,0.9076543979716117
-0.024775835,-0.012621253,0.9097691917853489,0.9097691917853489
