co_X_train_ax1,co_X_train_ax2,co_var,co_r2
-0.04142289,-0.015694413,0.24335320108633107,0.24335320108633107
-0.03683529,-0.013444611,0.4139124041682023,0.4139124041682023
-0.037186187,-0.014847958,0.4227437711452532,0.4227437711452532
-0.03461487,-0.011776508,0.44016577909844135,0.44016577909844135
-0.03302048,-0.012215375,0.5194642913591051,0.5194642913591051
-0.033463717,-0.011384856,0.5385831647882894,0.5385831647882894
-0.038577564,-0.013724681,0.536273534416684,0.536273534416684
-0.01298865,-0.018945927,0.5363624075397844,0.5363624075397844
-0.036787245,-0.010349498,0.5377761027697874,0.5377761027697874
-0.037716616,-0.016218575,0.5371150620211205,0.5371150620211205
-0.035244416,-0.014256632,0.5699805126855626,0.5699805126855626
-0.026195662,-0.013151879,0.5758040887064166,0.5758040887064166
-0.03219966,-0.013529052,0.595783742575237,0.595783742575237
-0.030167574,-0.007933516,0.5948512895133956,0.5948512895133956
-0.031687718,-0.013335796,0.5952563116074521,0.5952563116074521
-0.026475903,-0.013233519,0.5967919765341294,0.5967919765341294
-0.019885067,-0.003367453,0.5964359498433957,0.5964359498433957
-0.035827883,-0.012166955,0.6034671173587087,0.6034671173587087
-0.037724454,-0.015190448,0.6099093635308097,0.6099093635308097
-0.029929064,-0.01156037,0.6155620554950942,0.6155620554950942
-0.026222603,-0.0071932157,0.6209096710262656,0.6209096710262656
-0.029103158,-0.011551519,0.619427339142097,0.619427339142097
-0.034443922,-0.012736172,0.6224014751810247,0.6224014751810247
-0.03564342,-0.020641817,0.6258356524727606,0.6258356524727606
-0.03223011,-0.014161011,0.6228149299693854,0.6228149299693854
-0.028524753,-0.010030772,0.6274982383752767,0.6274982383752767
-0.03533352,-0.012436635,0.6299017758106764,0.6299017758106764
-0.023849037,-0.015079449,0.6326919868310974,0.6326919868310974
-0.031011397,-0.020998718,0.6400444218880145,0.6400444218880145
-0.032043234,-0.008377562,0.6329987064543019,0.6329987064543019
-0.03187221,-0.013249745,0.644862164542281,0.644862164542281
-0.023366392,-0.011810607,0.6461484106972096,0.6461484106972096
-0.037232872,-0.016569335,0.6451276495552336,0.6451276495552336
-0.03188878,-0.014209637,0.6494941740681093,0.6494941740681093
-0.029858526,-0.009988717,0.647376643402193,0.647376643402193
-0.037028562,-0.013765694,0.6512564324200307,0.6512564324200307
-0.033670206,-0.013351966,0.654719307681193,0.654719307681193
-0.029754747,-0.008656606,0.6517282814528556,0.6517282814528556
-0.029025087,-0.0103299515,0.6511694030691093,0.6511694030691093
-0.037068993,-0.013347017,0.6564220948032746,0.6564220948032746
-0.029682828,-0.012469181,0.6597245392722977,0.6597245392722977
-0.035083156,-0.011648443,0.6550712108135226,0.6550712108135226
-0.013769826,-0.0046178694,0.6661398870362392,0.6661398870362392
-0.034089018,-0.011254833,0.6732642140857638,0.6732642140857638
-0.034573782,-0.013742645,0.6703849209049143,0.6703849209049143
-0.037649047,-0.018551737,0.6731744415252714,0.6731744415252714
-0.02460086,-0.008678761,0.6745416012769602,0.6745416012769602
-0.032799613,-0.011138454,0.6762994013211474,0.6762994013211474
-0.014096854,-0.00799666,0.6775083585383517,0.6775083585383517
-0.038400736,-0.013084064,0.6782675801873772,0.6782675801873772
-0.03442724,-0.010507945,0.682955362223432,0.682955362223432
-0.025434429,-0.0068348893,0.6803713975198813,0.6803713975198813
-0.032315824,-0.009343681,0.6858207743666689,0.6858207743666689
-0.037589025,-0.013574821,0.6805333558294124,0.6805333558294124
-0.023871193,-0.013652992,0.6863805215253838,0.6863805215253838
-0.030060055,-0.010850295,0.6889120157466859,0.6889120157466859
-0.035929527,-0.015294517,0.6861596773100844,0.6861596773100844
-0.03967576,-0.008827642,0.6845020334427789,0.6845020334427789
-0.03267827,-0.0108292,0.6883787259533727,0.6883787259533727
-0.03248156,-0.010261766,0.6860047736882973,0.6860047736882973
-0.032044284,-0.004471002,0.6845255917920348,0.6845255917920348
-0.03100356,-0.01261535,0.6910703015623771,0.6910703015623771
-0.033285707,-0.014218559,0.6889477633571521,0.6889477633571521
-0.00861374,-0.0220269,0.6900071274186907,0.6900071274186907
-0.033330142,-0.010576203,0.68870695300347,0.68870695300347
-0.037459575,-0.02760659,0.6958032290729224,0.6958032290729224
-0.034919597,-0.011727794,0.6902435161678273,0.6902435161678273
-0.03666462,-0.011696611,0.6964014067180044,0.6964014067180044
-0.031504974,-0.011299286,0.6887502234045608,0.6887502234045608
-0.035864502,-0.012834203,0.697429883330606,0.697429883330606
-0.035413153,-0.010308109,0.6945118557719723,0.6945118557719723
-0.03580885,-0.0100641,0.6932583872924838,0.6932583872924838
-0.034357216,-0.011482083,0.6908783504993874,0.6908783504993874
-0.03352584,-0.012703829,0.69909316805294,0.69909316805294
-0.03404575,-0.013389398,0.6979619596494567,0.6979619596494567
-0.033870254,-0.0129088,0.6991024890347813,0.6991024890347813
-0.031915646,-0.013190628,0.6962413602988454,0.6962413602988454
-0.037381474,-0.013421823,0.7029877986362595,0.7029877986362595
-0.039353922,-0.0119521255,0.7028779282327451,0.7028779282327451
-0.023771986,-0.008849932,0.7093452784381411,0.7093452784381411
-0.034397442,-0.011522864,0.7002076682272894,0.7002076682272894
-0.03106385,-0.012938146,0.6989297920428282,0.6989297920428282
-0.019204622,-0.01310978,0.7065697141010268,0.7065697141010268
-0.031583793,-0.013302816,0.7056968757679245,0.7056968757679245
-0.035374418,-0.00898802,0.7057374835214757,0.7057374835214757
-0.025272204,-0.014945314,0.7040329369540683,0.7040329369540683
-0.020958679,-0.016888693,0.7072866343862811,0.7072866343862811
