dim,lr,batch,epochs
1,0.0001,64,150
2,0.0001,128,10
3,0.0001,32,75
4,0.0001,32,150
5,0.001,256,75
6,0.01,256,75
7,0.001,256,100
8,0.0001,32,100
9,0.0001,64,150
10,0.001,32,10
20,0.0001,64,100
30,0.0001,128,150
40,0.0001,32,75
50,0.01,32,10
60,0.0001,256,150
70,0.001,256,10
80,0.01,32,10
90,0.01,32,50
100,0.0001,64,50
110,0.01,64,50
120,0.01,32,10
