no2_X_train_ax1,no2_X_train_ax2,no2_var,no2_r2
0.01983771,0.14223443,0.18059638191918248,0.18059638191918248
0.04215289,0.10541574,0.2046688689693894,0.2046688689693894
0.04939613,0.1701392,0.20767151076147283,0.20767151076147283
0.06060301,0.10084529,0.20804083394846395,0.20804083394846395
0.04451542,0.03559404,0.24845170612471623,0.24845170612471623
0.032128513,0.03374909,0.2539810120467756,0.2539810120467756
0.0432617,0.05922064,0.25594580163853,0.25594580163853
0.060654026,0.041600317,0.26543418494791415,0.26543418494791415
0.07351119,0.07201137,0.26871041474613766,0.26871041474613766
0.031096216,0.16449004,0.29361544010198815,0.29361544010198815
0.058113527,0.108412065,0.2939049094104742,0.2939049094104742
0.026212957,0.094785124,0.29703667403466194,0.29703667403466194
0.089588776,0.07687896,0.29728062638234887,0.29728062638234887
0.055393513,0.07923362,0.3137356958567332,0.3137356958567332
0.07506505,0.09311365,0.3236981579109701,0.3236981579109701
0.088473365,0.14249088,0.3380531641968143,0.3380531641968143
0.040893823,0.058980696,0.34096302190322003,0.34096302190322003
0.07532182,0.10972262,0.34957359005527566,0.34957359005527566
0.07071793,0.049198084,0.35376117035732113,0.35376117035732113
0.07208261,0.06479569,0.3689931137397835,0.3689931137397835
0.12627451,0.16330765,0.3723476981134315,0.3723476981134315
0.04234091,0.0702906,0.37164744716113185,0.37164744716113185
0.04777164,0.12812638,0.37599276176813967,0.37599276176813967
0.052779753,0.13327217,0.37509497300475003,0.37509497300475003
0.040323444,0.12120692,0.3839267622257726,0.3839267622257726
0.061571468,0.0660559,0.3883239468581844,0.3883239468581844
0.082503945,0.14530842,0.38873358422302284,0.38873358422302284
0.07169823,0.10229831,0.388313453744099,0.388313453744099
0.03366635,0.1303214,0.41649136171598466,0.41649136171598466
0.090971306,0.09120006,0.41606835838613676,0.41606835838613676
0.04286858,0.09751987,0.42002617264487363,0.42002617264487363
0.05467506,0.13075985,0.42404065399569546,0.42404065399569546
0.0057644956,0.13492341,0.4240080409224961,0.4240080409224961
0.057278443,0.11347269,0.43108551556916186,0.43108551556916186
0.031977817,0.08998167,0.43113485315864297,0.43113485315864297
0.07251233,0.07638748,0.43457808479215965,0.43457808479215965
0.044798523,0.16395615,0.4323141872690134,0.4323141872690134
0.07295446,0.11541363,0.4342707876946663,0.4342707876946663
0.06992504,0.07217517,0.43524190030869014,0.43524190030869014
0.07709314,0.13209154,0.43688435587072105,0.43688435587072105
0.058087353,0.11268059,0.4350646527283307,0.4350646527283307
0.0616592,0.13956024,0.4405066943975945,0.4405066943975945
0.019173052,0.06256241,0.4441328305814486,0.4441328305814486
0.09718473,0.08928431,0.44307538678251435,0.44307538678251435
0.091241,0.1022711,0.4465530330762857,0.4465530330762857
0.04327188,0.13718484,0.4433301275486412,0.4433301275486412
0.0522853,0.09616781,0.45156738550413045,0.45156738550413045
0.046907526,0.050366305,0.45071342850873664,0.45071342850873664
0.040048108,0.051766887,0.4528827737004343,0.4528827737004343
0.12523328,0.035306484,0.4532856939651445,0.4532856939651445
0.09936851,0.13782822,0.4524103144600359,0.4524103144600359
0.121841535,0.17704292,0.4581927630756275,0.4581927630756275
0.05511452,0.05167537,0.4560506344479637,0.4560506344479637
0.007572245,0.055040114,0.4641040880948145,0.4641040880948145
0.028057106,0.11266217,0.47023643032600637,0.47023643032600637
0.042040832,0.11016222,0.47996290273544684,0.47996290273544684
