dim,lr,batch,epochs
1,0.1,64,10
2,0.0001,256,50
3,0.0001,128,50
4,0.0001,256,50
5,0.0001,128,50
6,0.0001,128,10
7,0.0001,64,75
8,0.0001,32,50
9,0.0001,32,75
10,0.0001,128,50
20,0.0001,256,100
30,0.0001,32,100
40,0.001,256,150
50,0.0001,64,50
60,0.01,128,50
70,0.01,128,50
80,0.01,256,10
90,0.01,256,150
100,0.001,128,75
110,0.01,256,50
120,0.01,64,150
